0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
gun,say,would,subject,use,use,drive,go,game,god,article,entry,say,key,ax,image,black,write,line,subject
space,people,write,line,line,line,organization,say,team,church,write,program,people,use,di,datum,mu,subject,subject,organization
year,one,think,organization,window,subject,subject,one,year,henry,organization,file,one,encryption,um,gateway,um,would,organization,line
weapon,know,subject,system,subject,organization,line,would,player,believe,subject,section,law,chip,ey,subject,ra,article,write,post
firearm,would,article,post,organization,get,get,get,good,subject,line,line,believe,clipper,nei,line,el,organization,would,write
orbit,time,like,book,file,need,university,people,subject,say,car,year,evidence,write,mu,organization,subject,line,post,university
control,see,organization,use,card,one,post,know,organization,line,one,van,belief,access,biz,format,one,one,get,host
rate,think,line,mail,problem,also,would,well,line,organization,get,rule,would,subject,ah,marc,go,people,university,article
use,come,make,university,bit,look,write,make,write,one,post,build,point,one,ex,local,em,attack,article,distribution
new,write,say,computer,get,write,article,think,get,write,new,division,truth,would,mi,mail,pa,ground,one,reply
