0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
use,ax,god,use,file,would,health,year,ax,file,say,article,say,available,anonymous,people,say,space,say,file
argument,di,write,say,gun,one,would,good,di,image,go,write,one,use,space,go,get,launch,use,output
one,ey,subject,one,firearm,people,center,line,um,mail,one,subject,know,version,launch,say,go,satellite,one,program
drive,biz,people,time,control,say,medical,get,ey,use,know,line,see,include,service,one,year,key,go,entry
make,ex,organization,people,bill,know,use,output,mu,send,people,organization,people,anonymous,post,know,one,system,get,line
fallacy,mu,article,year,handgun,make,os,well,ah,graphic,come,right,would,server,privacy,think,take,os,available,use
would,ne,father,health,law,think,cancer,write,mi,gun,take,post,go,system,use,would,game,commercial,work,char
post,mi,say,get,united,write,mu,use,ex,format,tell,well,make,image,system,see,see,market,tape,stream
see,om,son,work,weapon,well,tobacco,program,pu,system,would,people,get,also,satellite,work,well,bit,know,name
problem,ah,make,go,crime,use,new,file,biz,ray,apartment,university,take,mail,user,take,would,use,would,check
