0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
sun,food,chip,god,people,space,file,drive,thank,team,bike,window,gun,ide,car,key,apple,game,driver,fi
de,arbor,clipper,believe,kill,government,window,disk,please,player,list,screen,sale,controller,speed,henry,mac,year,card,access
objective,ann,encryption,faith,turk,bony,win,floppy,file,game,drug,oracle,firearm,program,bike,bit,stratus,fan,mouse,pin
tu,thing,escrow,atheist,say,jake,run,hard,mail,hockey,application,color,state,system,engine,escrow,monitor,win,port,truth
font,disease,boston,hell,right,president,program,boot,advance,play,motif,detector,sell,atheist,price,access,chip,hit,video,hut
graphic,name,key,say,fire,center,directory,problem,anyone,season,bill,radar,offer,bus,dealer,law,quadra,good,diamond,graphic
value,mark,algorithm,atheism,attack,launch,manager,controller,duke,league,dyer,law,drive,number,tire,encryption,kent,score,serial,keyboard
display,mi,machine,existence,turkey,book,server,monitor,hi,win,use,question,upgrade,institute,drive,clipper,computer,baseball,bus,absolute
motif,question,privacy,belief,country,shuttle,buffalo,switch,know,ca,package,display,control,power,mile,public,price,get,mode,sabbath
program,level,government,exist,war,moon,version,se,state,ranger,window,monitor,police,morality,buy,encrypt,company,run,board,ai
