0,1,2,3,4,5,6,7
key,key,bit,key,stratus,phone,access,gun
chip,chip,government,stratus,transfer,tap,net,genocide
encryption,clipper,encryption,bit,key,public,pat,turk
government,encryption,space,net,rocket,clipper,key,chip
clipper,escrow,key,access,gun,line,stratus,clipper
use,bit,law,encryption,message,encryption,encryption,soviet
would,gun,stratus,gun,bit,serial,chip,stratus
people,algorithm,clipper,clipper,distribution,warrant,escrow,firearm
phone,phone,gun,technology,carl,file,reference,bony
system,serial,privacy,host,encrypt,security,space,law
