0,1,2,3,4,5,6,7
clipper,chip,phone,get,pat,space,government,key
encryption,device,trust,drug,bit,stratus,algorithm,bit
phone,encryption,government,go,access,university,encryption,public
key,algorithm,security,want,net,mail,patent,session
chip,use,president,fire,run,post,secret,encrypt
system,clipper,privacy,good,give,news,people,escrow
escrow,voice,ensure,tell,thing,please,right,number
use,technology,care,system,two,world,public,serial
right,datum,omission,would,think,thank,law,chip
criminal,privacy,law,gun,go,year,say,block
