0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
oil,stock,billion,say,say,rate,say,say,price,price,say,say,san,say,say,billion,car,saving,dividend,sugar,say,say,net,coffee,record,loss,health,say,acquisition,share,say,say,china,say,say,say,say,say,say,yen,offer,say,security,franc,say,dome,say,say,baker,exchange,say,rise,say,say,say,western,say,united,day,bank,say,say,contract,share,say
energy,say,profit,rate,company,debenture,talk,would,raise,official,chemical,sugar,disease,year,share,corp,say,federal,stock,say,retail,union,sale,quota,pay,net,affiliate,company,say,offer,country,program,mark,bond,mine,agency,canada,sale,fed,food,share,oil,sec,say,group,say,company,railway,say,auction,boston,billion,analyst,system,trade,primary,industry,south,say,rate,sell,bank,say,say,air
say,cocoa,net,currency,year,standard,fire,official,oil,japan,year,intervention,versus,billion,one,gulf,plant,loan,say,year,trade,new,note,producer,div,profit,correct,gas,insurance,say,would,tax,say,spokesman,gold,material,unemployment,division,week,turnover,say,crude,japan,billion,stake,debt,agreement,china,treasury,say,county,year,would,republic,japan,dilute,industrial,trade,rubber,say,share,payment,metal,shareholder,continental
pipeline,buffer,year,market,quarter,effective,ship,oil,crude,output,venture,trader,say,forecast,year,asset,canada,association,share,crop,warrant,port,gain,export,prior,year,care,acquisition,unit,tender,price,commission,trust,store,unit,pound,mortgage,company,supply,div,per,barrel,commission,share,share,bag,merger,billion,suit,realty,fuel,fall,market,product,would,bonus,production,say,price,week,cash,central,aluminium,merger,trader
barrel,delegate,loss,dollar,earning,say,preliminary,meeting,barrel,chip,company,supermarket,loss,reserve,fe,loan,data,home,split,export,house,price,year,brazil,may,note,terminal,corp,sell,company,market,certificate,brown,plant,steel,aluminum,price,field,shipment,billion,partner,refinery,senate,ordinary,company,plan,credit,tax,court,series,transport,say,last,company,foreign,delta,output,bill,sun,prime,partnership,duty,order,common,price
crude,buy,sale,bank,share,split,company,make,soviet,say,drug,market,bill,gold,two,computer,electric,say,record,estimate,lucky,agreement,nil,say,dividend,nine,turkey,acquire,corp,corp,economic,study,block,company,ton,manage,rate,corp,customer,profit,stock,row,lawyer,issue,buy,creditor,corp,divest,trade,trade,daily,compare,dollar,sell,year,two,investment,textile,new,money,property,room,option,approve,sell
day,manager,company,west,first,discount,south,plan,increase,reed,would,commission,year,deficit,stock,net,agreement,feed,march,last,government,strike,tax,price,set,include,electronics,share,life,common,oil,grain,twa,corp,mining,dairy,progressive,southern,may,say,taft,cable,house,bid,investor,would,share,grain,rule,facility,beef,month,sale,buy,official,say,firm,approximately,foot,interest,agree,preparation,new,stock,stock
spot,rule,note,exchange,expect,plan,cause,take,say,cut,price,rebate,government,last,company,acquire,trade,bank,common,area,price,pact,include,would,march,sale,five,unit,sale,stock,world,oil,sea,people,crown,imperial,card,sell,sugar,dollar,tender,harper,trade,water,control,commercial,bank,institute,file,new,company,figure,also,undisclosed,billion,delay,trade,congress,old,market,offering,devaluation,trading,company,oil
ford,consumer,nine,monetary,report,treasury,bankruptcy,import,post,market,profit,today,blood,trade,swire,telephone,negotiation,broker,corp,month,subsidy,international,corp,meeting,quarterly,share,say,would,acquire,would,official,propose,win,telephone,copper,champion,increase,president,raw,year,lynch,mar,investigation,rank,would,national,security,year,official,payment,cumulative,end,year,business,government,poultry,year,law,term,point,partner,cut,crazy,twa,spokeswoman
york,purchase,operating,german,result,balance,report,country,west,fall,share,week,franc,cost,cable,say,sign,world,payable,production,sale,worker,nine,talk,corp,corp,switch,transaction,term,bid,nation,use,court,production,corp,weight,rise,subsidiary,grain,make,broadcast,market,chairman,statement,stock,new,board,research,japan,future,al,march,could,expect,market,rio,statement,foreign,short,cut,proceed,default,delivery,financial,courier
