0,1,2,3,4,5,6
space,cash,cache,motion,wind,united,plant
population,debenture,bit,particle,tide,soviet,organism
mission,account,address,fig,air,war,cell
satellite,share,register,magnetic,ocean,president,animal
pregnancy,company,processor,electric,warm,party,specie
moon,allotment,memory,wave,condensation,government,tissue
craft,purchase,computer,electron,cloud,union,blood
launch,capital,page,mass,cyclone,country,biology
exploration,balance,datum,velocity,tropical,political,acid
orbit,pay,clock,direction,circulation,military,protein
