0,1,2,3,4,5,6,7,8,9,10,11,12,13
number,page,mass,city,cache,address,bit,execution,clock,instruction,hardware,energy,charge,cell
point,hazard,energy,state,memory,force,reg,program,instruction,memory,io,use,use,water
magnetic,memory,nucleus,war,miss,block,register,branch,use,time,program,performance,register,plant
field,performance,atom,new,datum,particle,one,file,cycle,pipeline,use,computer,bit,form
two,use,two,also,use,body,use,designer,one,bit,language,register,two,temperature
use,time,error,two,write,system,time,address,figure,computer,new,figure,call,figure
force,program,electron,country,time,register,figure,system,memory,motion,also,branch,disk,also
time,code,decay,form,address,mass,two,also,state,use,prediction,geography,field,call
vector,system,neutron,wave,register,data,also,force,exception,load,instruction,one,share,cycle
direction,force,page,south,water,procedure,call,state,two,two,bit,current,light,air
