0,1,2,3,4,5,6,7,8,9,10,11,12,13
instruction,share,share,war,share,cache,cell,debenture,charge,fraction,charge,wave,bit,cash
register,instruction,debenture,charge,debenture,instruction,cache,cash,motion,decimal,magnetic,light,clock,error
memory,register,allotment,soviet,cash,miss,debenture,sale,wave,number,energy,force,performance,account
bit,debenture,instruction,magnetic,purchase,block,plant,account,magnetic,bit,current,motion,register,credit
address,memory,cash,united,account,register,cash,cell,particle,lesson,potential,electron,address,sale
cache,cash,charge,party,sale,memory,charge,purchase,field,exponent,coil,body,cycle,debit
branch,bit,application,government,allotment,page,water,plant,electric,denominator,loop,vector,pipeline,trial
charge,address,money,president,balance,branch,organism,redemption,current,instruction,nucleus,frequency,execution,purchase
cycle,allotment,capital,field,redemption,charge,miss,error,velocity,multiply,electron,acceleration,processor,post
clock,charge,force,electric,book,hierarchy,magnetic,issue,cell,review,solenoid,electromagnetic,computer,asset
