0,1,2,3,4,5,6,7,8,9,10,11,12,13
plate,cell,cash,water,share,united,debenture,charge,wave,specie,war,cell,error,war
motion,inequality,decimal,pressure,nucleus,state,issue,magnetic,light,water,party,population,account,equation
body,plant,share,share,nuclear,soviet,party,field,electron,wave,current,force,population,variable
particle,lesson,digit,charge,energy,pressure,premium,force,speed,plant,asset,clock,trial,instruction
system,review,number,segment,equity,war,company,energy,acceleration,energy,pollen,phase,instruction,register
capacitor,instruction,percent,surface,neutron,new,government,electric,velocity,light,force,displacement,particular,president
rigid,chromosome,pay,wire,capital,return,share,vector,cash,fraction,price,cycle,date,control
force,stage,round,company,decay,economic,allotment,mass,motion,organism,woman,military,balance,charge
axis,figure,cheque,tissue,reactor,president,election,point,object,diversity,nation,time,amount,enzyme
rotation,transport,point,blood,application,world,reserve,surface,statement,ecosystem,political,war,memory,china
