lambda,nu,emp_mean
72,0.9500000000000002,85.94666666666667
162,0.8600000000000001,98.62666666666667
119,0.9100000000000001,97.98
174,0.8,98.73333333333333
66,0.9600000000000002,78.04
90,0.9900000000000002,88.65333333333334
122,0.9600000000000002,96.94666666666667
101,0.9400000000000002,96.5
147,0.9500000000000002,97.98
52,1.0100000000000002,49.553333333333335
81,0.81,98.04666666666667
104,1.1400000000000003,59.50666666666667
48,1.0100000000000002,45.61333333333334
101,0.8800000000000001,97.98666666666666
65,0.81,97.56
63,0.8500000000000001,95.65333333333334
170,1.0200000000000002,97.45333333333333
70,1.1900000000000004,35.42
156,0.9000000000000001,98.39333333333333
157,0.8400000000000001,98.57333333333334
148,0.8900000000000001,98.39333333333333
50,0.9200000000000002,70.02666666666667
16,1.0600000000000003,13.686666666666667
192,0.9700000000000002,98.29333333333334
51,1.1300000000000003,32.11333333333334
189,1.0400000000000003,97.48666666666666
190,0.9900000000000002,98.01333333333334
183,0.9200000000000002,98.46
125,0.8700000000000001,98.30666666666667
149,0.8600000000000001,98.42666666666666
186,1.0700000000000003,96.62666666666667
160,1.1500000000000004,81.49333333333334
187,1.0500000000000003,96.93333333333334
104,1.1000000000000003,67.38
82,0.9100000000000001,96.12
30,1.0000000000000002,30.253333333333334
172,0.9100000000000001,98.31333333333333
198,0.8700000000000001,98.6
89,1.0200000000000002,81.65333333333334
136,1.1000000000000003,85.88666666666667
156,0.8500000000000001,98.36
20,0.9800000000000002,21.92
135,0.9400000000000002,97.92
86,1.0100000000000002,82.5
185,0.9900000000000002,98.01333333333334
42,1.1400000000000003,26.78
74,1.0600000000000003,57.86
130,0.8400000000000001,98.30666666666667
59,1.1100000000000003,39.88
157,0.8300000000000001,98.52666666666667
91,1.0000000000000002,88.02
57,1.1800000000000004,30.293333333333333
21,1.0800000000000003,16.926666666666666
41,1.1300000000000003,26.32
73,1.1300000000000003,44.586666666666666
113,0.8400000000000001,98.08666666666667
79,1.0400000000000003,66.06666666666666
157,1.1500000000000004,81.91333333333333
32,0.8800000000000001,52.086666666666666
186,0.9600000000000002,98.06666666666666
105,0.9300000000000002,96.89333333333333
194,0.9600000000000002,98.3
37,0.8800000000000001,59.92666666666667
98,1.0900000000000003,67.32
179,1.1300000000000003,91.86
158,0.9700000000000002,97.90666666666667
16,1.0800000000000003,13.266666666666667
72,1.0600000000000003,55.906666666666666
108,0.9900000000000002,94.86666666666666
190,0.8800000000000001,98.53333333333333
75,1.1500000000000004,42.76
93,1.1400000000000003,53.906666666666666
157,0.9100000000000001,98.19333333333333
159,1.0800000000000003,94.30666666666667
180,0.8600000000000001,98.61333333333333
122,1.1900000000000004,56.593333333333334
114,0.9800000000000002,96.02666666666667
181,1.0900000000000003,95.36
182,0.9000000000000001,98.38666666666667
154,0.8400000000000001,98.59333333333333
166,1.1800000000000004,74.60666666666667
82,0.8400000000000001,97.78666666666666
10,1.0700000000000003,8.826666666666666
115,0.9300000000000002,97.56
80,1.1900000000000004,39.60666666666667
51,1.0900000000000003,37.07333333333333
12,1.1500000000000004,8.66
46,1.1300000000000003,29.606666666666666
39,0.9100000000000001,55.166666666666664
29,0.8600000000000001,50.57333333333333
93,1.0300000000000002,81.75333333333333
65,1.1200000000000003,40.86666666666667
39,1.1400000000000003,25.253333333333334
38,0.8500000000000001,72.10666666666667
195,0.9800000000000002,98.12666666666667
102,0.8500000000000001,98.13333333333334
162,0.9000000000000001,98.38666666666667
40,0.9500000000000002,48.07333333333333
89,1.1100000000000003,56.5
67,0.9400000000000002,85.1
186,0.8700000000000001,98.55333333333333
87,0.8500000000000001,97.93333333333334
111,1.1900000000000004,52.626666666666665
93,1.1800000000000004,47.22666666666667
70,0.9800000000000002,75.79333333333334
181,1.0400000000000003,97.2
132,1.0900000000000003,86.56666666666666
26,1.0000000000000002,26.38
164,0.9300000000000002,98.1
60,0.9100000000000001,87.04666666666667
161,0.8700000000000001,98.58
69,0.81,97.56
81,1.1500000000000004,45.68666666666667
191,0.9100000000000001,98.51333333333334
85,1.0200000000000002,78.03333333333333
63,0.9000000000000001,91.39333333333333
149,0.8700000000000001,98.42
189,1.1800000000000004,83.16
117,1.0500000000000003,88.64666666666666
177,0.8500000000000001,98.58666666666667
135,1.0300000000000002,95.55333333333333
28,0.8400000000000001,53.733333333333334
133,0.81,98.55333333333333
24,0.9200000000000002,32.986666666666665
20,0.9300000000000002,25.78
27,0.9100000000000001,36.233333333333334
28,0.8800000000000001,44.04
145,1.0700000000000003,93.78
187,0.9600000000000002,98.06
45,0.8500000000000001,85.30666666666667
28,0.9600000000000002,32.52
186,1.0200000000000002,97.92
37,1.1900000000000004,20.42
84,1.0600000000000003,64.54
148,0.8600000000000001,98.45333333333333
198,0.9800000000000002,98.06666666666666
11,0.81,19.626666666666665
157,0.8800000000000001,98.31333333333333
188,1.1300000000000003,93.24
158,1.0900000000000003,93.54
59,0.8200000000000001,96.41333333333333
27,1.1600000000000004,16.873333333333335
113,0.8,98.44
183,1.0800000000000003,95.96
136,1.1800000000000004,63.86666666666667
95,0.8400000000000001,97.85333333333334
190,0.8600000000000001,98.60666666666667
78,1.1400000000000003,45.71333333333333
83,1.0700000000000003,61.946666666666665
81,1.1300000000000003,48.35333333333333
175,1.1900000000000004,76.30666666666667
137,1.0100000000000002,96.68
191,0.9500000000000002,98.40666666666667
176,0.9700000000000002,98.00666666666666
131,1.0000000000000002,96.7
55,1.1400000000000003,34.306666666666665
164,0.9400000000000002,98.28
115,1.1100000000000003,71.93333333333334
11,1.0900000000000003,8.693333333333333
