index,shap_home,shap_away,color,home,away,shaphome,shapaway
defense strength away,-0.417469087,0.042146062,red,-28.53404368,-27.10807377,0.417469087,-0.042146062
away international,-0.118669108,0.09385171,red,-28.2352437,-27.05636812,0.118669108,-0.09385171
diff back age avg,-0.05526289,0.067411362,red,-28.17183749,-27.08280847,0.05526289,-0.067411362
diff gk age avg,-0.034976691,0.027725288,red,-28.15155129,-27.12249454,0.034976691,-0.027725288
away locals,-0.027965145,-0.013318912,red,-28.14453974,-27.16353874,0.027965145,0.013318912
diff gk age std,-0.025206408,-0.015413355,red,-28.141781,-27.16563318,0.025206408,0.015413355
diff back age std,-0.020908896,0.008136691,red,-28.13748349,-27.14208314,0.020908896,-0.008136691
importance,-0.004176801,-0.016916099,red,-28.1207514,-27.16713593,0.004176801,0.016916099
diff wing height std,-0.000559987,0.028640141,red,-28.11713458,-27.12157969,0.000559987,-0.028640141
diff pivot age std,-0.000142246,-0.006227484,red,-28.11671684,-27.15644731,0.000142246,0.006227484
away travel km,0.000636465,-0.010247069,green,-28.11593813,-27.1604669,-0.000636465,0.010247069
game hour,0.001125725,-0.028370065,green,-28.11544887,-27.17858989,-0.001125725,0.028370065
game dow,5.66E-03,-0.00601196,green,-28.11091276,-27.15623179,-0.005661838,0.00601196
diff wing age std,0.00659109,-0.020784376,green,-28.10998351,-27.1710042,-0.00659109,0.020784376
days to final,8.66E-03,0.003045153,green,-28.10791192,-27.14717468,-0.008662678,-0.003045153
diff pivot height std,0.013444174,0.012289718,green,-28.10313042,-27.13793011,-0.013444174,-0.012289718
diff wing height avg,0.017251689,-0.002700597,green,-28.09932291,-27.15292043,-0.017251689,0.002700597
diff back height std,0.020845852,-0.010824818,green,-28.09572874,-27.16104465,-0.020845852,0.010824818
diff pivot age avg,0.037659322,-0.055600885,green,-28.07891527,-27.20582071,-0.037659322,0.055600885
diff gk height std,0.059783091,-0.061070566,green,-28.05679151,-27.21129039,-0.059783091,0.061070566
diff gk height avg,0.067858622,-0.097284228,green,-28.04871597,-27.24750406,-0.067858622,0.097284228
diff back height avg,0.087128297,-0.001919773,green,-28.0294463,-27.1521396,-0.087128297,0.001919773
home locals,0.139704592,0.00900908,green,-27.97687,-27.14121075,-0.139704592,-0.00900908
diff pivot height avg,0.171094247,-0.153697966,green,-27.94548035,-27.30391779,-0.171094247,0.153697966
attack strength away,0.183211293,-0.472221994,green,-27.9333633,-27.62244182,-0.183211293,0.472221994
diff wing age avg,0.186900455,-0.116193653,green,-27.92967414,-27.26641348,-0.186900455,0.116193653
defense strength home,0.340151651,-1.732049804,green,-27.77642295,-28.88226963,-0.340151651,1.732049804
home international,0.390937952,-0.221751219,green,-27.72563664,-27.37197105,-0.390937952,0.221751219
attack strength home,2.657970413,-0.362946177,green,-25.45860418,-27.51316601,-2.657970413,0.362946177
