index,importance
Pivot age (std),0.000142246
Wing height (std),0.000559987
Ttravel (km),0.000636465
Game (Hour),0.001125725
Importance,0.004176801
Game (DoW),0.005661838
Wing age (std),0.00659109
Days to final,0.008662678
Pivot height (std),0.013444174
Wing height (avg),0.017251689
Back height (std),0.020845852
Back age (std),0.020908896
Goalie age (std),0.025206408
Away locals,0.027965145
Goalie age (avg),0.034976691
Pivot age (avg),0.037659322
Back age (avg),0.05526289
Goalie height (std),0.059783091
Goalie height (avg),0.067858622
Back height (avg),0.087128297
Away international,0.118669108
Home locals,0.139704592
Pivot height (avg),0.171094247
Attack strength (away),0.183211293
Wing age (avg),0.186900455
Defense strength (home),0.340151651
Home international,0.390937952
Defense strength (away),0.417469087
Attack strength (home),2.657970413
