t_new x1_new x2_new F_new d t_grad x1_grad x2_grad F_grad 
0.0000000000 4.0000000000 -4.0000000000 4.9100000000 1.0000000000 0.0000000000 4.0000000000 -4.0000000000 4.9100000000 
0.0774265617 4.9629094850 -3.9625279398 4.8775938831 0.6429649160 0.0519249410 4.7490379647 -3.9792586198 4.8853436621 
0.1759318985 6.4969134964 -3.7618416412 4.8107808638 2.5376660527 0.2651477706 4.9889248295 -4.0959982292 4.8725163683 
0.2711285185 5.6117131407 -3.9727680803 4.8494737592 0.6560956693 0.4508884655 4.7425960206 -4.0864842181 4.8823329510 
0.3793008566 4.3888385186 -4.3864933182 4.8852371825 2.6074572881 0.7352482696 4.4682955365 -4.5232016129 4.8777898823 
0.4552824903 4.9369194172 -4.1349687851 4.8733631811 0.7520527420 1.0278774822 5.2771707316 -3.5982524242 4.8747744744 
0.5954647674 6.0343715872 -3.5153034367 4.8416417567 2.0944694460 1.1705390514 4.7267707269 -4.6537245977 4.8638073826 
0.6992672029 5.2089019731 -4.1469516055 4.8619091989 0.8582949530 1.3324818329 5.0892234335 -3.4840780291 4.8855380403 
0.8217896426 4.7887628231 -4.5180429166 4.8663432515 1.6185574600 1.5367724118 5.0285157100 -4.4437997139 4.8595565235 
0.9499075461 5.5999696964 -3.5319921818 4.8621464719 1.4303702539 1.6707650288 4.9897278311 -4.1598465793 4.8704872071 
1.0522588948 5.5302278362 -3.6736140592 4.8616441181 1.2951142114 1.8978418920 5.0503816945 -3.9041615558 4.8758012689 
1.1891570688 5.0234200357 -4.6849261215 4.8511670535 2.0227856869 2.1565020645 4.7040782974 -3.5169393188 4.8997241022 
1.2694644892 5.1732905291 -4.2407087704 4.8604072641 1.2927331722 2.4413269220 5.4766343318 -4.3266603018 4.8444653815 
1.4306573013 5.4059595265 -3.3726935294 4.8747892303 2.0528141763 2.7197373863 4.9041646509 -3.7994609704 4.8846025833 
1.5911897664 5.3148122882 -4.6827113258 4.8391001610 1.8437013351 3.0390869555 4.2745493258 -3.8097950399 4.9069118927 
1.7367297891 5.1953907488 -3.6381959308 4.8771930935 1.3533747348 3.3023124801 5.4558403444 -3.8365739411 4.8604966755 
1.9142232535 5.3556148057 -4.0111030261 4.8598093912 1.5317905969 3.5999138971 5.2565489215 -3.6898956760 4.8732312627 
2.0880483990 5.3834602037 -4.2119756271 4.8523424461 1.9280734259 3.8868178253 4.4388030349 -4.3448707358 4.8849323672 
2.2769957920 5.0064376576 -3.5650656866 4.8868444766 2.2779213932 4.1805058305 5.0607238565 -3.8003054125 4.8783440568 
2.4457556742 5.7541333089 -4.3500345503 4.8308774250 2.3466992229 4.4131352480 4.9678049005 -3.7192884295 4.8843099735 
2.6001261167 4.7069131831 -3.6095871968 4.8972442466 2.0274081022 4.6508571130 4.9921125387 -4.2457335723 4.8676412553 
2.7989244816 5.7668716477 -4.0622366859 4.8394982059 2.1503886559 4.8635869006 4.8756499977 -3.4276609226 4.8954289977 
3.0318647710 4.5281732223 -3.8271852366 4.8977950868 2.4590782276 5.1549623640 5.2404787124 -4.4477541921 4.8506566566 
3.2932618075 5.7530649738 -3.8266042822 4.8470934079 2.9126639957 5.4403453328 4.9621752113 -3.7648058785 4.8832850802 
3.5814111054 5.2489615051 -3.7994795250 4.8705462026 2.8833175571 5.7601078140 4.3656057539 -3.4952029846 4.9122332999 
3.8404237436 4.7065068754 -4.2960577582 4.8769890502 3.0507428395 6.0430911066 5.2582875215 -3.9593081267 4.8655474140 
4.1258924804 5.4695281991 -3.4329367684 4.8705206818 3.6554886953 6.3338536456 5.4159002458 -3.7822947479 4.8637933048 
4.4682508300 5.2384993500 -3.3387092631 4.8828278112 3.7033435386 6.6121083527 4.2871975182 -4.0507538524 4.8994361670 
