lmbda              mac_decoded_pixel  n_pixels           n_loops            psnr_db            rate_bpp
0.0001             680                9437184            5.00               40.82230           1.73720
0.0002             680                9437184            5.00               38.69655           1.34631
0.0003             680                9437184            5.00               37.47455           1.16140
0.0004             680                9437184            5.00               36.43719           1.01438
0.0005             680                9437184            5.00               35.69075           0.90811
0.0008             680                9437184            5.00               34.09088           0.72013
0.0010             680                9437184            5.00               33.13077           0.61326
0.0020             680                9437184            5.00               31.01683           0.40312
0.0030             680                9437184            5.00               29.79495           0.30773
0.0040             680                9437184            5.00               28.91071           0.24634
0.0050             680                9437184            5.00               28.35420           0.21053
0.0080             680                9437184            5.00               27.19623           0.14934
0.0100             680                9437184            5.00               26.72834           0.12764
0.0200             680                9437184            5.00               25.26493           0.07709
