lmbda              mac_decoded_pixel  n_pixels           n_loops            psnr_db            rate_bpp
22.0000            0                  9437184            0.00               39.93464           1.54954
23.0000            0                  9437184            0.00               39.30814           1.40911
24.0000            0                  9437184            0.00               38.68708           1.28469
25.0000            0                  9437184            0.00               38.01858           1.16263
26.0000            0                  9437184            0.00               37.33656           1.04572
27.0000            0                  9437184            0.00               36.68083           0.94233
28.0000            0                  9437184            0.00               36.02065           0.84629
29.0000            0                  9437184            0.00               35.33519           0.75493
30.0000            0                  9437184            0.00               34.68973           0.67534
31.0000            0                  9437184            0.00               34.00365           0.59705
32.0000            0                  9437184            0.00               33.33548           0.52538
33.0000            0                  9437184            0.00               32.68164           0.46264
34.0000            0                  9437184            0.00               32.03827           0.40482
35.0000            0                  9437184            0.00               31.39432           0.35207
36.0000            0                  9437184            0.00               30.78416           0.30667
37.0000            0                  9437184            0.00               30.18130           0.26462
38.0000            0                  9437184            0.00               29.56130           0.22611
39.0000            0                  9437184            0.00               29.00231           0.19384
40.0000            0                  9437184            0.00               28.43733           0.16577
41.0000            0                  9437184            0.00               27.88037           0.14077
42.0000            0                  9437184            0.00               27.37059           0.11945
43.0000            0                  9437184            0.00               26.85770           0.10060
44.0000            0                  9437184            0.00               26.34587           0.08464
45.0000            0                  9437184            0.00               25.86783           0.07115
46.0000            0                  9437184            0.00               25.41062           0.05997
47.0000            0                  9437184            0.00               24.94362           0.05027
48.0000            0                  9437184            0.00               24.50972           0.04233
49.0000            0                  9437184            0.00               24.08638           0.03573
50.0000            0                  9437184            0.00               23.67065           0.02977
51.0000            0                  9437184            0.00               23.29934           0.02527
