lmbda              mac_decoded_pixel  n_pixels           n_loops            psnr_db            rate_bpp
0.0001             2291               9437184            5.00               41.06425           1.61015
0.0002             2291               9437184            5.00               38.99685           1.22918
0.0003             2291               9437184            5.00               37.66426           1.04442
0.0004             2291               9437184            5.00               36.85172           0.93117
0.0005             2291               9437184            5.00               36.03286           0.83849
0.0008             2291               9437184            5.00               34.56212           0.66800
0.0010             2291               9437184            5.00               33.86507           0.59831
0.0020             2291               9437184            5.00               31.68563           0.40002
0.0030             2291               9437184            5.00               30.50601           0.30918
0.0040             2291               9437184            5.00               29.64039           0.25539
0.0050             2291               9437184            5.00               29.06473           0.22018
0.0080             2291               9437184            5.00               27.93222           0.16330
0.0100             2291               9437184            5.00               27.40003           0.14251
0.0200             2291               9437184            5.00               25.91447           0.09439
