lmbda              mac_decoded_pixel  n_pixels           n_loops            psnr_db            rate_bpp
22.0000            0                  9437184            0.00               40.66008           1.43001
23.0000            0                  9437184            0.00               40.02974           1.30274
24.0000            0                  9437184            0.00               39.38859           1.18412
25.0000            0                  9437184            0.00               38.72743           1.07127
26.0000            0                  9437184            0.00               38.09585           0.96991
27.0000            0                  9437184            0.00               37.43365           0.87450
28.0000            0                  9437184            0.00               36.75959           0.78421
29.0000            0                  9437184            0.00               36.09885           0.70237
30.0000            0                  9437184            0.00               35.42429           0.62551
31.0000            0                  9437184            0.00               34.75287           0.55456
32.0000            0                  9437184            0.00               34.09541           0.49048
33.0000            0                  9437184            0.00               33.43798           0.43172
34.0000            0                  9437184            0.00               32.77565           0.37706
35.0000            0                  9437184            0.00               32.15116           0.32955
36.0000            0                  9437184            0.00               31.52442           0.28637
37.0000            0                  9437184            0.00               30.88293           0.24622
38.0000            0                  9437184            0.00               30.28598           0.21185
39.0000            0                  9437184            0.00               29.70442           0.18155
40.0000            0                  9437184            0.00               29.13743           0.15533
41.0000            0                  9437184            0.00               28.58883           0.13228
42.0000            0                  9437184            0.00               28.05046           0.11231
43.0000            0                  9437184            0.00               27.53185           0.09499
44.0000            0                  9437184            0.00               27.03837           0.08044
45.0000            0                  9437184            0.00               26.55735           0.06803
46.0000            0                  9437184            0.00               26.07866           0.05723
47.0000            0                  9437184            0.00               25.61636           0.04820
48.0000            0                  9437184            0.00               25.16636           0.04032
49.0000            0                  9437184            0.00               24.74755           0.03405
50.0000            0                  9437184            0.00               24.32796           0.02882
51.0000            0                  9437184            0.00               23.91789           0.02416
