x y acc
0.00 0.00 26.50
0.00 1.00 86.13
0.00 2.00 9.98
0.00 3.00 92.50
0.00 4.00 42.60
0.00 5.00 33.36
0.00 6.00 83.00
0.00 7.00 68.79
0.00 8.00 62.57
0.00 9.00 47.53
1.00 0.00 10.31
1.00 1.00 75.13
1.00 2.00 45.06
1.00 3.00 44.75
1.00 4.00 85.85
1.00 5.00 0.02
1.00 6.00 90.53
1.00 7.00 54.75
1.00 8.00 64.35
1.00 9.00 28.83
2.00 0.00 14.50
2.00 1.00 71.27
2.00 2.00 5.00
2.00 3.00 71.14
2.00 4.00 80.24
2.00 5.00 29.52
2.00 6.00 95.26
2.00 7.00 92.20
2.00 8.00 77.95
2.00 9.00 50.82
3.00 0.00 80.36
3.00 1.00 14.08
3.00 2.00 43.58
3.00 3.00 92.14
3.00 4.00 82.54
3.00 5.00 42.16
3.00 6.00 2.77
3.00 7.00 38.56
3.00 8.00 35.45
3.00 9.00 42.36
4.00 0.00 86.94
4.00 1.00 83.12
4.00 2.00 82.70
4.00 3.00 21.31
4.00 4.00 90.98
4.00 5.00 72.42
4.00 6.00 61.08
4.00 7.00 46.78
4.00 8.00 80.03
4.00 9.00 31.10
5.00 0.00 82.37
5.00 1.00 95.38
5.00 2.00 8.47
5.00 3.00 75.83
5.00 4.00 16.22
5.00 5.00 95.27
5.00 6.00 15.92
5.00 7.00 75.42
5.00 8.00 82.77
5.00 9.00 93.73
6.00 0.00 45.89
6.00 1.00 73.88
6.00 2.00 63.37
6.00 3.00 9.23
6.00 4.00 28.12
6.00 5.00 46.66
6.00 6.00 8.87
6.00 7.00 13.46
6.00 8.00 84.81
6.00 9.00 42.42
7.00 0.00 20.72
7.00 1.00 78.48
7.00 2.00 82.84
7.00 3.00 79.23
7.00 4.00 23.35
7.00 5.00 16.17
7.00 6.00 34.05
7.00 7.00 76.81
7.00 8.00 18.36
7.00 9.00 74.88
8.00 0.00 12.49
8.00 1.00 95.28
8.00 2.00 87.01
8.00 3.00 79.77
8.00 4.00 26.16
8.00 5.00 76.56
8.00 6.00 53.52
8.00 7.00 42.16
8.00 8.00 88.50
8.00 9.00 1.51
9.00 0.00 43.84
9.00 1.00 24.59
9.00 2.00 26.09
9.00 3.00 65.64
9.00 4.00 30.29
9.00 5.00 87.20
9.00 6.00 98.17
9.00 7.00 38.21
9.00 8.00 35.03
9.00 9.00 87.42
