N, RMSE, Max
20,4.4,35.776
22,2.7664,17.64
24,2.9077,19.964
26,2.2255,15.807
28,1.6445,11.521
30,2.6154,24.518
32,1.3267,10.417
34,1.6039,14.564
36,1.4047,13.284
38,1.0496,9.8591
40,1.1139,11.381
42,1.0191,10.974
44,0.70293,7.3026
46,0.79912,9.3745
48,0.45292,4.6486
50,0.51594,5.9612
52,0.23476,2.3123
54,0.28272,3.3574
56,0.16881,1.9703
58,0.13183,1.6024
60,0.10268,1.1553
62,0.096273,1.1843
64,0.045996,0.53106
66,0.03673,0.42907
68,0.029942,0.35916
70,0.011425,0.11519
72,0.015363,0.18567
74,0.0081108,0.08689
76,0.0080593,0.095897
78,0.0050245,0.056809
80,0.0033701,0.036305
