N, RMSE, Max
20,3.956,12.067
22,5.3347,15.791
24,15.973,36.865
26,22.164,52.521
28,16.666,42.779
30,4.4657,15.117
32,1.8258,10.134
34,1.738,9.4987
36,1.512,9.3361
38,1.3619,9.0148
40,1.4592,9.1913
42,1.2824,7.8528
44,1.3375,8.9148
46,1.3519,8.1667
48,1.3756,7.652
50,1.0876,8.775
52,1.3929,8.1443
54,1.0559,8.4856
56,1.1003,8.5196
58,1.1995,8.3499
60,0.98788,7.1954
62,1.0937,8.1277
64,1.0395,7.3668
66,1.0533,7.2481
68,0.96991,7.4772
70,1.0389,6.8781
72,0.88718,7.5654
74,0.97034,6.6365
76,0.90234,7.4519
78,0.84424,7.183
80,1.0241,6.8176
