N, RMSE, Max
20,1.5264,7.9549
22,1.3437,8.531
24,1.2369,6.9525
26,1.2822,7.1982
28,1.0928,7.8597
30,1.4881,6.8838
32,0.90187,6.8095
34,1.1142,6.871
36,0.96071,6.7066
38,0.8581,6.2725
40,0.37388,4.596
42,0.5242,5.704
44,0.29444,3.4334
46,0.21732,2.4445
48,0.090129,0.90179
50,0.11911,1.5095
52,0.046013,0.38587
54,0.043286,0.48441
56,0.034675,0.36185
58,0.017831,0.15757
60,0.038,0.3349
62,0.021268,0.26386
64,0.013266,0.11612
66,0.015366,0.19736
68,0.0067031,0.082754
70,0.0022386,0.01918
72,0.0041066,0.054917
74,0.0023506,0.026204
76,0.0043372,0.047337
78,0.0015182,0.0197
80,0.00059516,0.0063131
