N, RMSE, Max
20,3.1008,10.507
22,2.9387,10.174
24,2.9407,9.8991
26,16.388,38.046
28,25.557,57.502
30,2.2891,9.3268
32,1.6109,9.4569
34,1.8036,9.8568
36,1.6299,9.1053
38,1.464,9.4714
40,1.5273,8.8642
42,1.2784,8.4378
44,1.3505,9.1619
46,1.4014,7.871
48,1.3804,7.678
50,1.1119,9.1811
52,1.4105,7.9619
54,1.068,8.3147
56,1.0986,8.6704
58,1.1896,8.2592
60,0.98379,7.2073
62,1.0925,8.1339
64,1.0414,7.3714
66,1.0553,7.2603
68,0.97116,7.4863
70,1.0359,6.8822
72,0.88531,7.5467
74,0.96786,6.6303
76,0.9014,7.4375
78,0.84435,7.1858
80,0.94586,6.6883
