N, RMSE, Max
20,2.4884,7.7311
22,2.033,11.681
24,1.2837,7.3334
26,1.923,10.793
28,1.6255,8.0128
30,1.6289,7.3335
32,1.5842,8.2429
34,1.395,9.4339
36,1.3213,9.108
38,2.2571,26.261
40,0.73891,5.832
42,0.94686,6.2178
44,0.44799,4.1763
46,0.62397,7.625
48,0.56922,3.6296
50,0.76513,9.7364
52,0.15032,1.2336
54,0.18239,1.9209
56,0.23716,2.7011
58,0.061594,0.77324
60,0.056719,0.62002
62,0.065936,0.59447
64,0.038571,0.33117
66,0.1763,2.3968
68,0.034842,0.45267
70,0.015065,0.1225
72,0.0067275,0.067091
74,0.0043896,0.050452
76,0.0035032,0.031944
78,0.0049585,0.05351
80,0.0037285,0.03703
