N, RMSE, Max
20,2.6967,8.6938
22,2.5182,7.4405
24,2.1659,6.5596
26,19.001,39.297
28,27.765,63.62
30,1.3061,4.7768
32,1.119,3.9482
34,0.989,3.1665
36,0.89103,2.6902
38,0.79318,2.3678
40,0.67319,2.1285
42,0.56621,1.8141
44,0.48543,1.5104
46,0.38928,1.2584
48,0.30885,0.96573
50,0.25111,0.64526
52,0.22485,0.75769
54,0.19618,1.0114
56,0.172,1.084
58,0.14206,1.0579
60,0.11425,0.85792
62,0.094709,0.73102
64,0.075042,0.63718
66,0.064241,0.58151
68,0.05675,0.53788
70,0.049261,0.47018
72,0.044047,0.42303
74,0.036358,0.33492
76,0.030507,0.2711
78,0.021962,0.18215
80,0.018895,0.15158
