N, LooCheap, StabCheap, CombCheap, LooExp, StabExp, CombExp
14,0.097045,0.097045,0.097045,0.094147,0.094147,0.094147
16,0.08077,0.08077,0.08077,0.08077,0.08077,0.08077
18,0.075169,0.075169,0.075169,0.17305,0.10827,0.075169
20,0.50549,0.070473,0.070766,0.070473,0.070473,0.070473
22,0.065705,0.067012,0.065705,0.067012,0.067012,0.067012
24,0.010977,0.060848,0.010977,0.010977,0.060848,0.010977
26,0.0080443,0.0080443,0.0080443,0.0080443,0.0080443,0.0080443
28,0.012223,0.012223,0.012223,0.012223,0.0055202,0.0055202
30,0.013918,0.013918,0.013918,0.0026177,0.0026177,0.0026177
32,0.0084008,0.0084008,0.0084008,0.0012537,0.0012537,0.0012537
34,0.0011834,0.0011834,0.0011834,0.00099079,0.00099079,0.00099079
36,0.0012167,0.0012167,0.0012167,0.00065405,0.00065405,0.00065405
38,0.0008198,0.0008198,0.0008198,0.00093222,0.00038309,0.00093222
40,0.00054708,0.00045207,0.00054708,0.00032398,0.00022216,0.00032398
42,0.0002467,0.0002467,0.0002467,0.0002467,0.0002467,0.0002467
44,0.00012814,0.00012814,0.00012814,0.00012814,0.00012814,0.00012814
46,7.9798e-05,7.9798e-05,7.9798e-05,6.2034e-05,6.2034e-05,6.2034e-05
48,6.3548e-05,6.3548e-05,6.3548e-05,3.0482e-05,3.0482e-05,3.0482e-05
50,5.0746e-05,5.0746e-05,5.0746e-05,1.8867e-05,1.8867e-05,1.8867e-05
