beta, pdf
0.0001,1.3265e-05
0.030402,0.00074997
0.060704,0.00095514
0.091006,0.0010736
0.12131,0.0011537
0.15161,0.0012123
0.18191,0.0012572
0.21221,0.0012927
0.24252,0.0013214
0.27282,0.0013451
0.30312,0.0013649
0.33342,0.0013815
0.36372,0.0013957
0.39403,0.0014078
0.42433,0.0014182
0.45463,0.0014272
0.48493,0.0014349
0.51523,0.0014416
0.54554,0.0014475
0.57584,0.0014525
0.60614,0.0014569
0.63644,0.0014606
0.66674,0.0014639
0.69705,0.0014666
0.72735,0.001469
0.75765,0.001471
0.78795,0.0014726
0.81825,0.001474
0.84856,0.0014751
0.87886,0.0014759
0.90916,0.0014765
0.93946,0.001477
0.96976,0.0014772
1.0001,0.0014773
1.0304,0.0014772
1.0607,0.001477
1.091,0.0014767
1.1213,0.0014762
1.1516,0.0014756
1.1819,0.001475
1.2122,0.0014742
1.2425,0.0014734
1.2728,0.0014725
1.3031,0.0014715
1.3334,0.0014705
1.3637,0.0014694
1.394,0.0014683
1.4243,0.0014671
1.4546,0.0014658
1.4849,0.0014645
1.5152,0.0014632
1.5455,0.0014618
1.5758,0.0014604
1.6061,0.001459
1.6364,0.0014575
1.6667,0.001456
1.697,0.0014545
1.7273,0.001453
1.7576,0.0014514
1.7879,0.0014498
1.8182,0.0014482
1.8485,0.0014466
1.8788,0.001445
1.9091,0.0014434
1.9394,0.0014417
1.9697,0.00144
2,0.0014384
2.0303,0.0014367
2.0606,0.001435
2.0909,0.0014333
2.1212,0.0014316
2.1515,0.0014299
2.1818,0.0014282
2.2121,0.0014264
2.2424,0.0014247
2.2728,0.001423
2.3031,0.0014213
2.3334,0.0014195
2.3637,0.0014178
2.394,0.001416
2.4243,0.0014143
2.4546,0.0014126
2.4849,0.0014108
2.5152,0.0014091
2.5455,0.0014073
2.5758,0.0014056
2.6061,0.0014039
2.6364,0.0014021
2.6667,0.0014004
2.697,0.0013987
2.7273,0.0013969
2.7576,0.0013952
2.7879,0.0013935
2.8182,0.0013918
2.8485,0.00139
2.8788,0.0013883
2.9091,0.0013866
2.9394,0.0013849
2.9697,0.0013832
3,0.0013815
