logalpha,pdf
-1,0.00025337
-0.98999,0.00026081
-0.97998,0.00026844
-0.96997,0.00027628
-0.95996,0.00028434
-0.94995,0.00029261
-0.93994,0.00030111
-0.92993,0.00030983
-0.91992,0.00031879
-0.90991,0.00032799
-0.8999,0.00033743
-0.88989,0.00034713
-0.87988,0.00035708
-0.86987,0.00036729
-0.85986,0.00037778
-0.84985,0.00038854
-0.83984,0.00039959
-0.82983,0.00041092
-0.81982,0.00042255
-0.80981,0.00043449
-0.7998,0.00044674
-0.78979,0.0004593
-0.77978,0.00047219
-0.76977,0.00048541
-0.75976,0.00049898
-0.74975,0.00051289
-0.73974,0.00052716
-0.72973,0.00054179
-0.71972,0.0005568
-0.70971,0.00057219
-0.6997,0.00058797
-0.68969,0.00060414
-0.67968,0.00062073
-0.66967,0.00063774
-0.65966,0.00065517
-0.64965,0.00067304
-0.63964,0.00069136
-0.62963,0.00071013
-0.61962,0.00072937
-0.60961,0.00074908
-0.5996,0.00076929
-0.58959,0.00078999
-0.57958,0.0008112
-0.56957,0.00083293
-0.55956,0.0008552
-0.54955,0.000878
-0.53954,0.00090137
-0.52953,0.0009253
-0.51952,0.0009498
-0.50951,0.0009749
-0.4995,0.0010006
-0.48949,0.0010269
-0.47948,0.0010539
-0.46947,0.0010815
-0.45946,0.0011097
-0.44945,0.0011386
-0.43944,0.0011683
-0.42943,0.0011986
-0.41942,0.0012296
-0.40941,0.0012613
-0.3994,0.0012938
-0.38939,0.0013271
-0.37938,0.0013611
-0.36937,0.0013959
-0.35936,0.0014315
-0.34935,0.001468
-0.33934,0.0015053
-0.32933,0.0015434
-0.31932,0.0015824
-0.30931,0.0016223
-0.2993,0.0016631
-0.28929,0.0017048
-0.27928,0.0017475
-0.26927,0.0017912
-0.25926,0.0018358
-0.24925,0.0018814
-0.23924,0.0019281
-0.22923,0.0019757
-0.21922,0.0020245
-0.20921,0.0020743
-0.1992,0.0021252
-0.18919,0.0021773
-0.17918,0.0022305
-0.16917,0.0022848
-0.15916,0.0023403
-0.14915,0.0023971
-0.13914,0.0024551
-0.12913,0.0025143
-0.11912,0.0025748
-0.10911,0.0026366
-0.099099,0.0026998
-0.089089,0.0027642
-0.079079,0.0028301
-0.069069,0.0028973
-0.059059,0.002966
-0.049049,0.0030361
-0.039039,0.0031077
-0.029029,0.0031808
-0.019019,0.0032555
-0.009009,0.0033317
0.001001,0.0034094
0.011011,0.0034888
0.021021,0.0035698
0.031031,0.0036525
0.041041,0.0037368
0.051051,0.0038229
0.061061,0.0039108
0.071071,0.0040004
0.081081,0.0040918
0.091091,0.0041851
0.1011,0.0042803
0.11111,0.0043773
0.12112,0.0044763
0.13113,0.0045773
0.14114,0.0046803
0.15115,0.0047853
0.16116,0.0048924
0.17117,0.0050015
0.18118,0.0051128
0.19119,0.0052263
0.2012,0.005342
0.21121,0.0054599
0.22122,0.0055801
0.23123,0.0057026
0.24124,0.0058274
0.25125,0.0059546
0.26126,0.0060843
0.27127,0.0062164
0.28128,0.006351
0.29129,0.0064881
0.3013,0.0066278
0.31131,0.0067701
0.32132,0.006915
0.33133,0.0070626
0.34134,0.007213
0.35135,0.0073661
0.36136,0.0075221
0.37137,0.0076808
0.38138,0.0078425
0.39139,0.0080071
0.4014,0.0081747
0.41141,0.0083452
0.42142,0.0085189
0.43143,0.0086956
0.44144,0.0088755
0.45145,0.0090586
0.46146,0.0092449
0.47147,0.0094344
0.48148,0.0096273
0.49149,0.0098236
0.5015,0.010023
0.51151,0.010226
0.52152,0.010433
0.53153,0.010643
0.54154,0.010857
0.55155,0.011074
0.56156,0.011295
0.57157,0.01152
0.58158,0.011749
0.59159,0.011981
0.6016,0.012218
0.61161,0.012458
0.62162,0.012702
0.63163,0.01295
0.64164,0.013202
0.65165,0.013459
0.66166,0.013719
0.67167,0.013984
0.68168,0.014253
0.69169,0.014527
0.7017,0.014805
0.71171,0.015087
0.72172,0.015373
0.73173,0.015665
0.74174,0.01596
0.75175,0.016261
0.76176,0.016566
0.77177,0.016876
0.78178,0.01719
0.79179,0.017509
0.8018,0.017834
0.81181,0.018163
0.82182,0.018497
0.83183,0.018836
0.84184,0.019181
0.85185,0.01953
0.86186,0.019885
0.87187,0.020245
0.88188,0.02061
0.89189,0.02098
0.9019,0.021356
0.91191,0.021738
0.92192,0.022125
0.93193,0.022517
0.94194,0.022915
0.95195,0.023319
0.96196,0.023728
0.97197,0.024143
0.98198,0.024565
0.99199,0.024991
1.002,0.025424
1.012,0.025863
1.022,0.026308
1.032,0.026759
1.042,0.027216
1.0521,0.027679
1.0621,0.028148
1.0721,0.028624
