N, RMSE, Max
10,0.042471,0.108
11,0.037926,0.14616
12,0.038091,0.16305
13,0.02907,0.12099
14,0.018757,0.062515
15,0.014382,0.046493
16,0.012494,0.050336
17,0.0091209,0.038154
18,0.0067221,0.025288
19,0.0055997,0.019022
20,0.0047861,0.016765
21,0.0035873,0.013381
22,0.0025972,0.009449
23,0.0019884,0.006762
24,0.0016241,0.0051281
25,0.0012004,0.0040825
26,0.00084537,0.0029783
27,0.00063101,0.0020401
28,0.00053683,0.0015647
29,0.00042018,0.0014365
30,0.0002968,0.00092065
31,0.00018705,0.00054103
32,0.00012989,0.00035171
34,8.7565e-05,0.00039647
36,3.3502e-05,0.00014471
38,1.8191e-05,6.2709e-05
40,1.4904e-05,9.8009e-05
42,1.165e-05,8.9992e-05
44,6.7506e-06,5.4356e-05
46,4.293e-06,3.6305e-05
48,3.5833e-06,2.8303e-05
50,4.7801e-06,4.0199e-05
