N, RMSE, Max
10,0.030089,0.097827
11,0.020877,0.10209
12,0.02114,0.11172
13,0.01171,0.056045
14,0.0084721,0.02903
15,0.009041,0.04328
16,0.0060436,0.029208
17,0.0021403,0.0086306
18,0.0020652,0.0078653
19,0.0015746,0.0059799
20,0.001673,0.0086349
21,0.0018201,0.006482
22,0.006727,0.062982
23,0.00086126,0.0041529
24,0.00068076,0.0035844
25,0.00052648,0.0028811
26,0.00041099,0.0020481
27,0.00026371,0.00099023
28,0.0002909,0.0013463
29,0.00053922,0.0019463
30,0.00050835,0.0020858
31,0.00023025,0.00070616
32,0.00016332,0.00057774
34,0.0017644,0.024523
36,0.00011497,0.00051876
38,4.0906e-05,0.00016776
40,1.9468e-05,0.00013456
42,6.5792e-05,0.00024788
44,4.1983e-05,0.00013584
46,2.7632e-05,7.5505e-05
48,2.0925e-05,0.0001204
50,3.8813e-05,0.00011551
