x,y_ref_real,y_ref_imag,y_ref_abs
10000,116.64,22.117,118.72
10075,118.3,21.201,120.18
10150,119.75,19.989,121.41
10225,120.95,18.652,122.38
10300,121.97,17.328,123.2
10375,122.94,16.05,123.98
10450,123.95,14.759,124.83
10525,125.03,13.36,125.74
10600,126.16,11.747,126.7
10675,127.23,9.8209,127.61
10750,128.06,7.5434,128.28
10825,128.43,5.005,128.53
10900,128.18,2.4526,128.2
10975,127.32,0.22195,127.32
11050,126.07,-1.3906,126.08
11125,124.78,-2.2411,124.8
11200,123.85,-2.3903,123.87
11275,123.58,-2.0914,123.6
11350,124.14,-1.72,124.15
11425,125.48,-1.6745,125.49
11500,127.38,-2.2855,127.4
11575,129.52,-3.7527,129.57
11650,131.51,-6.1106,131.66
11725,133.02,-9.2323,133.34
11800,133.79,-12.872,134.4
11875,133.68,-16.709,134.72
11950,132.71,-20.393,134.26
12025,131.06,-23.622,133.17
12100,129.03,-26.25,131.67
12175,126.89,-28.315,130.01
12250,124.79,-29.952,128.33
12325,122.77,-31.286,126.69
12400,120.8,-32.364,125.06
12475,118.92,-33.178,123.46
12550,117.2,-33.736,121.96
12625,115.73,-34.114,120.65
12700,114.56,-34.465,119.63
12775,113.62,-34.946,118.87
12850,112.78,-35.663,118.29
12925,111.87,-36.63,117.72
13000,110.72,-37.779,116.99
13075,109.23,-38.968,115.98
13150,107.37,-40.021,114.58
13225,105.17,-40.762,112.79
13300,102.75,-41.035,110.64
13375,100.3,-40.731,108.25
13450,98.065,-39.835,105.85
13525,96.289,-38.477,103.69
13600,95.099,-36.898,102.01
13675,94.469,-35.349,100.87
13750,94.265,-33.995,100.21
13825,94.331,-32.89,99.901
13900,94.549,-32.007,99.82
13942,94.717,-31.585,99.845
13943,94.722,-31.576,99.846
13944,94.726,-31.566,99.847
13945,94.731,-31.557,99.848
13946,94.735,-31.547,99.85
13947,94.74,-31.538,99.851
13948,94.744,-31.528,99.852
13949,94.749,-31.519,99.854
13950,94.753,-31.51,99.855
13951,94.758,-31.5,99.856
13952,94.762,-31.491,99.858
13953,94.767,-31.482,99.859
13954,94.771,-31.472,99.861
13955,94.776,-31.463,99.862
13956,94.781,-31.454,99.864
13957,94.785,-31.445,99.865
13958,94.79,-31.435,99.867
13959,94.795,-31.426,99.868
13960,94.799,-31.417,99.87
13961,94.804,-31.408,99.871
13962,94.809,-31.399,99.873
13963,94.814,-31.39,99.875
13964,94.819,-31.381,99.877
13965,94.823,-31.372,99.878
13966,94.828,-31.363,99.88
13967,94.833,-31.354,99.882
13968,94.838,-31.345,99.884
13969,94.843,-31.336,99.886
13970,94.848,-31.327,99.887
13971,94.853,-31.318,99.889
13972,94.858,-31.309,99.891
13973,94.863,-31.3,99.893
13974,94.868,-31.291,99.895
13975,94.873,-31.282,99.897
13975,94.873,-31.282,99.897
13976,94.878,-31.273,99.899
13977,94.883,-31.265,99.901
13978,94.888,-31.256,99.904
13979,94.894,-31.247,99.906
13980,94.899,-31.238,99.908
13981,94.904,-31.229,99.91
13982,94.909,-31.221,99.912
13983,94.914,-31.212,99.915
13984,94.92,-31.203,99.917
13985,94.925,-31.195,99.919
13986,94.93,-31.186,99.922
13987,94.936,-31.178,99.924
13988,94.941,-31.169,99.926
13989,94.946,-31.16,99.929
13990,94.952,-31.152,99.931
13991,94.957,-31.143,99.934
13992,94.963,-31.135,99.936
13993,94.968,-31.126,99.939
13994,94.974,-31.118,99.941
13995,94.979,-31.109,99.944
13996,94.985,-31.101,99.947
13997,94.99,-31.093,99.949
13998,94.996,-31.084,99.952
13999,95.002,-31.076,99.955
14000,95.007,-31.067,99.958
14001,95.013,-31.059,99.961
14002,95.019,-31.051,99.963
14003,95.024,-31.043,99.966
14004,95.03,-31.034,99.969
14005,95.036,-31.026,99.972
14006,95.042,-31.018,99.975
14007,95.048,-31.01,99.978
14008,95.053,-31.001,99.981
14009,95.059,-30.993,99.984
14010,95.065,-30.985,99.987
14011,95.071,-30.977,99.991
14012,95.077,-30.969,99.994
14013,95.083,-30.961,99.997
14014,95.089,-30.953,100
14015,95.095,-30.945,100
14016,95.101,-30.937,100.01
14017,95.107,-30.929,100.01
14018,95.114,-30.921,100.01
14019,95.12,-30.913,100.02
14020,95.126,-30.905,100.02
14021,95.132,-30.897,100.02
14022,95.138,-30.889,100.03
14023,95.145,-30.881,100.03
14024,95.151,-30.874,100.03
14025,95.157,-30.866,100.04
14026,95.164,-30.858,100.04
14027,95.17,-30.85,100.05
14028,95.177,-30.842,100.05
14029,95.183,-30.835,100.05
14030,95.19,-30.827,100.06
14031,95.196,-30.819,100.06
14032,95.203,-30.812,100.06
14033,95.209,-30.804,100.07
14034,95.216,-30.797,100.07
14035,95.222,-30.789,100.08
14036,95.229,-30.781,100.08
14037,95.236,-30.774,100.08
14038,95.243,-30.766,100.09
14039,95.249,-30.759,100.09
14040,95.256,-30.751,100.1
14041,95.263,-30.744,100.1
14042,95.27,-30.737,100.11
14043,95.277,-30.729,100.11
14044,95.284,-30.722,100.11
14045,95.291,-30.715,100.12
14046,95.298,-30.707,100.12
14047,95.305,-30.7,100.13
14048,95.312,-30.693,100.13
14049,95.319,-30.686,100.14
14050,95.326,-30.678,100.14
14050,95.326,-30.678,100.14
14051,95.333,-30.671,100.15
14052,95.34,-30.664,100.15
14053,95.347,-30.657,100.15
14054,95.355,-30.65,100.16
14055,95.362,-30.643,100.16
14056,95.369,-30.636,100.17
14057,95.376,-30.629,100.17
14058,95.384,-30.622,100.18
14059,95.391,-30.615,100.18
14060,95.399,-30.608,100.19
14061,95.406,-30.601,100.19
14062,95.414,-30.594,100.2
14063,95.421,-30.587,100.2
14064,95.429,-30.58,100.21
14065,95.436,-30.574,100.21
14066,95.444,-30.567,100.22
14067,95.451,-30.56,100.22
14068,95.459,-30.553,100.23
14069,95.467,-30.547,100.23
14070,95.475,-30.54,100.24
14071,95.482,-30.534,100.25
14072,95.49,-30.527,100.25
14073,95.498,-30.52,100.26
14074,95.506,-30.514,100.26
14075,95.514,-30.507,100.27
14076,95.522,-30.501,100.27
14077,95.53,-30.495,100.28
14078,95.538,-30.488,100.28
14079,95.546,-30.482,100.29
14080,95.554,-30.476,100.3
14081,95.562,-30.469,100.3
14082,95.57,-30.463,100.31
14083,95.578,-30.457,100.31
14084,95.587,-30.451,100.32
14085,95.595,-30.445,100.33
14086,95.603,-30.438,100.33
14087,95.612,-30.432,100.34
14088,95.62,-30.426,100.34
14089,95.628,-30.42,100.35
14090,95.637,-30.414,100.36
14091,95.645,-30.408,100.36
14092,95.654,-30.402,100.37
14093,95.662,-30.397,100.38
14094,95.671,-30.391,100.38
14095,95.679,-30.385,100.39
14096,95.688,-30.379,100.39
14097,95.697,-30.373,100.4
14098,95.705,-30.368,100.41
14099,95.714,-30.362,100.41
14100,95.723,-30.357,100.42
14101,95.732,-30.351,100.43
14102,95.74,-30.345,100.43
14103,95.749,-30.34,100.44
14104,95.758,-30.334,100.45
14105,95.767,-30.329,100.45
14106,95.776,-30.324,100.46
14107,95.785,-30.318,100.47
14108,95.794,-30.313,100.48
14109,95.803,-30.308,100.48
14110,95.812,-30.303,100.49
14111,95.821,-30.297,100.5
14112,95.83,-30.292,100.5
14113,95.84,-30.287,100.51
14114,95.849,-30.282,100.52
14115,95.858,-30.277,100.53
14116,95.867,-30.272,100.53
14117,95.877,-30.267,100.54
14118,95.886,-30.262,100.55
14119,95.895,-30.257,100.56
14120,95.905,-30.253,100.56
14121,95.914,-30.248,100.57
14122,95.924,-30.243,100.58
14123,95.933,-30.238,100.59
14124,95.943,-30.234,100.59
14125,95.952,-30.229,100.6
14125,95.952,-30.229,100.6
14126,95.962,-30.225,100.61
14127,95.972,-30.22,100.62
14128,95.981,-30.216,100.62
14129,95.991,-30.211,100.63
14130,96.001,-30.207,100.64
14131,96.01,-30.203,100.65
14132,96.02,-30.198,100.66
14133,96.03,-30.194,100.67
14134,96.04,-30.19,100.67
14135,96.05,-30.186,100.68
14136,96.06,-30.182,100.69
14137,96.07,-30.178,100.7
14138,96.08,-30.174,100.71
14139,96.09,-30.17,100.71
14140,96.1,-30.166,100.72
14141,96.11,-30.162,100.73
14142,96.12,-30.158,100.74
14143,96.13,-30.155,100.75
14144,96.14,-30.151,100.76
14145,96.15,-30.147,100.77
14146,96.16,-30.144,100.77
14147,96.171,-30.14,100.78
14148,96.181,-30.137,100.79
14149,96.191,-30.133,100.8
14150,96.201,-30.13,100.81
14151,96.212,-30.127,100.82
14152,96.222,-30.123,100.83
14153,96.233,-30.12,100.84
14154,96.243,-30.117,100.85
14155,96.253,-30.114,100.85
14156,96.264,-30.111,100.86
14157,96.274,-30.108,100.87
14158,96.285,-30.105,100.88
14159,96.295,-30.102,100.89
14160,96.306,-30.099,100.9
14161,96.317,-30.096,100.91
14162,96.327,-30.094,100.92
14163,96.338,-30.091,100.93
14164,96.349,-30.088,100.94
14165,96.359,-30.086,100.95
14166,96.37,-30.083,100.96
14167,96.381,-30.081,100.97
14168,96.392,-30.078,100.98
14169,96.402,-30.076,100.99
14170,96.413,-30.074,100.99
14171,96.424,-30.072,101
14172,96.435,-30.069,101.01
14173,96.446,-30.067,101.02
14174,96.457,-30.065,101.03
14175,96.468,-30.063,101.04
14176,96.479,-30.061,101.05
14177,96.49,-30.059,101.06
14178,96.5,-30.058,101.07
14179,96.512,-30.056,101.08
14180,96.523,-30.054,101.09
14181,96.534,-30.053,101.1
14182,96.545,-30.051,101.11
14183,96.556,-30.049,101.12
14184,96.567,-30.048,101.13
14185,96.578,-30.047,101.14
14186,96.589,-30.045,101.15
14187,96.6,-30.044,101.16
14188,96.611,-30.043,101.17
14189,96.623,-30.042,101.19
14190,96.634,-30.04,101.2
14191,96.645,-30.039,101.21
14192,96.656,-30.038,101.22
14193,96.668,-30.037,101.23
