x,y_ref_real,y_ref_imag,y_ref_abs
0,10.385,0,10.385
0.005,10.36,-0.481,10.371
0.01,10.286,-0.95459,10.33
0.015,10.166,-1.4137,10.263
0.02,10.002,-1.852,10.172
0.025,9.799,-2.264,10.057
0.03,9.5627,-2.6455,9.9219
0.035,9.2985,-2.9933,9.7684
0.04,9.0121,-3.3056,9.5992
0.045,8.7092,-3.5815,9.4169
0.05,8.3953,-3.8212,9.224
0.055,8.0751,-4.0256,9.0229
0.06,7.753,-4.1965,8.8159
0.065,7.4327,-4.3358,8.6049
0.07,7.1172,-4.4459,8.3917
0.075,6.8091,-4.5293,8.1779
0.08,6.5101,-4.5886,7.9648
0.085,6.2219,-4.6264,7.7534
0.09,5.9452,-4.6451,7.5447
0.095,5.6809,-4.6471,7.3395
0.1,5.4293,-4.6343,7.1382
0.105,5.1904,-4.6089,6.9413
0.11,4.9642,-4.5726,6.7492
0.115,4.7505,-4.527,6.5621
0.12,4.549,-4.4735,6.38
0.125,4.3592,-4.4133,6.2032
0.13,4.1807,-4.3475,6.0315
0.135,4.0131,-4.2771,5.865
0.14,3.8557,-4.203,5.7036
0.145,3.7082,-4.1257,5.5473
0.15,3.5699,-4.0461,5.3958
0.155,3.4404,-3.9645,5.2492
0.16,3.3193,-3.8815,5.1072
0.165,3.206,-3.7973,4.9697
0.17,3.1002,-3.7125,4.8367
0.175,3.0014,-3.6271,4.7079
0.18,2.9092,-3.5415,4.5832
0.185,2.8233,-3.4559,4.4625
0.19,2.7433,-3.3703,4.3457
0.195,2.669,-3.285,4.2326
0.2,2.6,-3.2,4.1231
0.205,2.5361,-3.1154,4.0172
0.21,2.477,-3.0313,3.9147
0.215,2.4226,-2.9477,3.8155
0.22,2.3726,-2.8647,3.7196
0.225,2.3268,-2.7823,3.627
0.23,2.2851,-2.7004,3.5375
0.235,2.2473,-2.6192,3.4512
0.24,2.2133,-2.5386,3.368
0.245,2.183,-2.4586,3.2879
0.25,2.1563,-2.3792,3.2109
0.255,2.1331,-2.3003,3.1372
0.26,2.1134,-2.2221,3.0666
0.265,2.0971,-2.1444,2.9993
0.27,2.0841,-2.0672,2.9355
0.275,2.0745,-1.9906,2.8751
0.28,2.0682,-1.9145,2.8183
0.285,2.0653,-1.839,2.7654
0.29,2.0658,-1.7639,2.7164
0.295,2.0696,-1.6894,2.6716
0.3,2.0769,-1.6154,2.6312
0.305,2.0877,-1.5419,2.5954
0.31,2.1022,-1.4691,2.5646
0.315,2.1203,-1.3968,2.539
0.32,2.1422,-1.3252,2.5189
0.325,2.168,-1.2542,2.5047
0.33,2.1979,-1.1841,2.4966
0.335,2.232,-1.1149,2.495
0.34,2.2705,-1.0467,2.5002
0.345,2.3136,-0.97971,2.5125
0.35,2.3614,-0.91402,2.5322
0.355,2.4142,-0.84989,2.5595
0.36,2.4722,-0.78757,2.5946
0.365,2.5356,-0.72735,2.6379
0.37,2.6047,-0.66958,2.6894
0.375,2.6796,-0.61466,2.7492
0.38,2.7606,-0.56306,2.8174
0.385,2.8479,-0.51531,2.8941
0.39,2.9417,-0.47203,2.9793
0.395,3.0421,-0.4339,3.0729
0.4,3.1492,-0.40172,3.1747
0.405,3.2631,-0.37636,3.2847
0.41,3.3836,-0.35878,3.4025
0.415,3.5105,-0.35006,3.528
0.42,3.6436,-0.35133,3.6605
0.425,3.7824,-0.3638,3.7998
0.43,3.9259,-0.38876,3.9451
0.435,4.0734,-0.42746,4.0958
0.44,4.2236,-0.48118,4.2509
0.445,4.3749,-0.55108,4.4094
0.45,4.5254,-0.6382,4.5702
0.455,4.673,-0.74331,4.7318
0.46,4.8153,-0.86692,4.8927
0.465,4.9495,-1.0091,5.0513
0.47,5.0728,-1.1694,5.2059
0.475,5.1823,-1.3469,5.3545
0.48,5.2752,-1.5401,5.4954
0.485,5.3488,-1.7467,5.6268
0.49,5.4008,-1.9641,5.7469
0.495,5.4296,-2.1891,5.8543
0.5,5.4341,-2.4181,5.9479
0.505,5.4139,-2.6475,6.0265
0.51,5.3693,-2.8735,6.0898
