x, loo_real, loo_imag, loo_abs
4500,-1.3346e-09,-8.0732e-09,8.1828e-09
4500.4,-1.4005e-09,-8.1163e-09,8.2363e-09
4500.8,-1.4673e-09,-8.159e-09,8.2899e-09
4501.2,-1.5351e-09,-8.2013e-09,8.3438e-09
4501.6,-1.6039e-09,-8.2432e-09,8.3978e-09
4502,-1.6736e-09,-8.2845e-09,8.4519e-09
4502.4,-1.7442e-09,-8.3254e-09,8.5062e-09
4502.5,-1.7575e-09,-8.333e-09,8.5163e-09
4502.8,-1.8157e-09,-8.3658e-09,8.5606e-09
4503.2,-1.8881e-09,-8.4056e-09,8.6151e-09
4503.6,-1.9613e-09,-8.4449e-09,8.6697e-09
4504,-2.0354e-09,-8.4837e-09,8.7244e-09
4504.4,-2.1104e-09,-8.5219e-09,8.7793e-09
4504.8,-2.1861e-09,-8.5594e-09,8.8342e-09
4505,-2.2147e-09,-8.5734e-09,8.8548e-09
4505.3,-2.2626e-09,-8.5964e-09,8.8892e-09
4505.7,-2.3399e-09,-8.6327e-09,8.9442e-09
4506.1,-2.4179e-09,-8.6684e-09,8.9993e-09
4506.5,-2.4965e-09,-8.7034e-09,9.0543e-09
4506.9,-2.5757e-09,-8.7377e-09,9.1094e-09
4507.3,-2.6555e-09,-8.7713e-09,9.1645e-09
4507.5,-2.7006e-09,-8.7899e-09,9.1954e-09
4507.7,-2.7358e-09,-8.8043e-09,9.2195e-09
4508.1,-2.8165e-09,-8.8365e-09,9.2745e-09
4508.5,-2.8975e-09,-8.868e-09,9.3293e-09
4508.9,-2.9788e-09,-8.8987e-09,9.384e-09
4509.3,-3.0602e-09,-8.9287e-09,9.4386e-09
4509.7,-3.1417e-09,-8.958e-09,9.493e-09
4510,-3.2027e-09,-8.9795e-09,9.5336e-09
4510.1,-3.223e-09,-8.9866e-09,9.5471e-09
4510.5,-3.3041e-09,-9.0144e-09,9.6009e-09
4510.9,-3.3847e-09,-9.0416e-09,9.6543e-09
4511.3,-3.4646e-09,-9.068e-09,9.7073e-09
4511.7,-3.5436e-09,-9.0938e-09,9.7598e-09
4512.1,-3.6213e-09,-9.1189e-09,9.8117e-09
4512.5,-3.6926e-09,-9.142e-09,9.8596e-09
4512.5,-3.6973e-09,-9.1435e-09,9.8628e-09
4512.9,-3.7713e-09,-9.1677e-09,9.9131e-09
4513.3,-3.8426e-09,-9.1914e-09,9.9623e-09
4513.7,-3.9105e-09,-9.2149e-09,1.001e-08
4514.1,-3.9743e-09,-9.2382e-09,1.0057e-08
4514.5,-4.0328e-09,-9.2617e-09,1.0102e-08
4514.9,-4.0845e-09,-9.2856e-09,1.0144e-08
4515,-4.0904e-09,-9.2887e-09,1.0149e-08
4515.4,-4.1277e-09,-9.3104e-09,1.0184e-08
4515.8,-4.1598e-09,-9.3364e-09,1.0221e-08
4516.2,-4.1775e-09,-9.3646e-09,1.0254e-08
4516.6,-4.1758e-09,-9.3959e-09,1.0282e-08
4517,-4.1479e-09,-9.432e-09,1.0304e-08
4517.4,-4.083e-09,-9.4752e-09,1.0317e-08
4517.5,-4.0527e-09,-9.4908e-09,1.032e-08
4517.8,-3.9641e-09,-9.5295e-09,1.0321e-08
4518.2,-3.7622e-09,-9.6014e-09,1.0312e-08
4518.6,-3.4238e-09,-9.7033e-09,1.029e-08
4519,-2.8372e-09,-9.8607e-09,1.0261e-08
4519.4,-1.7256e-09,-1.0137e-08,1.0283e-08
4519.8,8.3975e-10,-1.0748e-08,1.0781e-08
4520,3.805e-09,-1.1443e-08,1.2059e-08
4520.2,1.1102e-08,-1.3148e-08,1.7208e-08
4520.6,-4.7657e-08,9.9251e-11,4.7657e-08
4521,-1.6284e-08,-6.8856e-09,1.768e-08
4521.4,-1.2292e-08,-7.8042e-09,1.456e-08
4521.8,-1.0797e-08,-8.1559e-09,1.3531e-08
4522.2,-1.0058e-08,-8.3341e-09,1.3062e-08
4522.5,-9.7524e-09,-8.4095e-09,1.2877e-08
4522.6,-9.6476e-09,-8.4357e-09,1.2816e-08
4523,-9.4098e-09,-8.4963e-09,1.2678e-08
4523.4,-9.2739e-09,-8.5318e-09,1.2601e-08
4523.8,-9.2032e-09,-8.5506e-09,1.2562e-08
4524.2,-9.177e-09,-8.5574e-09,1.2548e-08
4524.6,-9.1825e-09,-8.555e-09,1.255e-08
4525,-9.2066e-09,-8.5469e-09,1.2562e-08
4525.1,-9.2113e-09,-8.5453e-09,1.2565e-08
4525.5,-9.2579e-09,-8.5296e-09,1.2588e-08
4525.9,-9.3184e-09,-8.5087e-09,1.2619e-08
4526.3,-9.39e-09,-8.4833e-09,1.2655e-08
4526.7,-9.4706e-09,-8.4537e-09,1.2695e-08
4527.1,-9.5585e-09,-8.4203e-09,1.2738e-08
4527.5,-9.6525e-09,-8.3834e-09,1.2785e-08
4527.5,-9.6586e-09,-8.381e-09,1.2788e-08
4527.9,-9.7517e-09,-8.3432e-09,1.2834e-08
4528.3,-9.8553e-09,-8.2997e-09,1.2885e-08
4528.7,-9.9627e-09,-8.2532e-09,1.2937e-08
4529.1,-1.0073e-08,-8.2036e-09,1.2991e-08
4529.5,-1.0187e-08,-8.1512e-09,1.3046e-08
4529.9,-1.0303e-08,-8.0959e-09,1.3103e-08
4530,-1.0332e-08,-8.0816e-09,1.3117e-08
4530.3,-1.0421e-08,-8.0377e-09,1.316e-08
4530.7,-1.054e-08,-7.9768e-09,1.3219e-08
4531.1,-1.0662e-08,-7.9131e-09,1.3278e-08
4531.5,-1.0785e-08,-7.8466e-09,1.3337e-08
4531.9,-1.0909e-08,-7.7774e-09,1.3398e-08
4532.3,-1.1034e-08,-7.7055e-09,1.3459e-08
4532.5,-1.109e-08,-7.6732e-09,1.3485e-08
4532.7,-1.1161e-08,-7.6309e-09,1.352e-08
4533.1,-1.1288e-08,-7.5535e-09,1.3582e-08
4533.5,-1.1415e-08,-7.4735e-09,1.3644e-08
4533.9,-1.1544e-08,-7.3908e-09,1.3707e-08
4534.3,-1.1672e-08,-7.3053e-09,1.377e-08
4534.7,-1.1802e-08,-7.2172e-09,1.3834e-08
4535,-1.1882e-08,-7.1607e-09,1.3873e-08
4535.2,-1.1931e-08,-7.1264e-09,1.3897e-08
4535.6,-1.2061e-08,-7.0328e-09,1.3961e-08
4536,-1.219e-08,-6.9366e-09,1.4026e-08
4536.4,-1.232e-08,-6.8377e-09,1.4091e-08
4536.8,-1.245e-08,-6.736e-09,1.4155e-08
4537.2,-1.258e-08,-6.6317e-09,1.4221e-08
4537.5,-1.2685e-08,-6.5449e-09,1.4274e-08
4537.6,-1.2709e-08,-6.5246e-09,1.4286e-08
4538,-1.2838e-08,-6.4148e-09,1.4352e-08
4538.4,-1.2967e-08,-6.3023e-09,1.4418e-08
4538.8,-1.3096e-08,-6.1871e-09,1.4484e-08
4539.2,-1.3224e-08,-6.0692e-09,1.455e-08
4539.6,-1.3352e-08,-5.9486e-09,1.4617e-08
4540,-1.3479e-08,-5.8252e-09,1.4684e-08
4542.5,-1.4251e-08,-5.0013e-09,1.5103e-08
4545,-1.4988e-08,-4.0731e-09,1.5532e-08
4547.5,-1.5679e-08,-3.0409e-09,1.5971e-08
4550,-1.6314e-08,-1.905e-09,1.6425e-08
4552.5,-1.6883e-08,-6.6577e-10,1.6896e-08
4555,-1.7377e-08,6.7741e-10,1.739e-08
4557.5,-1.7784e-08,2.1259e-09,1.7911e-08
4560,-1.8096e-08,3.6824e-09,1.8466e-08
4562.5,-1.8297e-08,5.3511e-09,1.9063e-08
4565,-1.8373e-08,7.1377e-09,1.971e-08
4567.5,-1.8302e-08,9.0488e-09,2.0416e-08
4570,-1.8057e-08,1.1091e-08,2.1191e-08
4572.5,-1.7603e-08,1.3271e-08,2.2045e-08
4575,-1.6895e-08,1.559e-08,2.2989e-08
4577.5,-1.5875e-08,1.8042e-08,2.4032e-08
4580,-1.4473e-08,2.061e-08,2.5184e-08
4582.5,-1.2603e-08,2.3256e-08,2.6451e-08
4585,-1.0172e-08,2.5913e-08,2.7838e-08
4587.5,-7.077e-09,2.8476e-08,2.9342e-08
4590,-3.2253e-09,3.0785e-08,3.0953e-08
4592.5,1.4494e-09,3.2616e-08,3.2648e-08
4595,6.9516e-09,3.3677e-08,3.4387e-08
4597.5,1.3179e-08,3.3616e-08,3.6107e-08
4600,1.9871e-08,3.2061e-08,3.7719e-08
4602.5,2.6569e-08,2.8697e-08,3.9108e-08
4605,3.2622e-08,2.3389e-08,4.014e-08
4607.5,3.7274e-08,1.6302e-08,4.0683e-08
4610,3.9844e-08,7.9744e-09,4.0634e-08
4612.5,3.9942e-08,-7.4763e-10,3.9949e-08
4615,3.762e-08,-8.9134e-09,3.8661e-08
4617.5,3.3349e-08,-1.5728e-08,3.6871e-08
4620,2.7852e-08,-2.0737e-08,3.4724e-08
4622.5,2.1882e-08,-2.3858e-08,3.2373e-08
4625,1.6051e-08,-2.5292e-08,2.9956e-08
4627.5,1.0765e-08,-2.5391e-08,2.7579e-08
4630,6.2273e-09,-2.4537e-08,2.5315e-08
4632.5,2.4949e-09,-2.3072e-08,2.3207e-08
4635,-4.7112e-10,-2.127e-08,2.1276e-08
4637.5,-2.7594e-09,-1.9331e-08,1.9527e-08
4640,-4.477e-09,-1.7391e-08,1.7958e-08
4642.5,-5.7311e-09,-1.5533e-08,1.6557e-08
4645,-6.619e-09,-1.3807e-08,1.5312e-08
4647.5,-7.2242e-09,-1.2235e-08,1.4208e-08
4650,-7.6155e-09,-1.0821e-08,1.3232e-08
4652.5,-7.8476e-09,-9.5609e-09,1.2369e-08
4655,-7.9636e-09,-8.4437e-09,1.1607e-08
4657.5,-7.9963e-09,-7.4554e-09,1.0933e-08
4660,-7.9706e-09,-6.5815e-09,1.0337e-08
4662.5,-7.9051e-09,-5.8078e-09,9.8092e-09
4665,-7.8136e-09,-5.1211e-09,9.3423e-09
4667.5,-7.7067e-09,-4.5095e-09,8.9291e-09
4670,-7.5922e-09,-3.962e-09,8.5638e-09
4672.5,-7.4762e-09,-3.4687e-09,8.2417e-09
4675,-7.3631e-09,-3.02e-09,7.9584e-09
4677.5,-7.2559e-09,-2.607e-09,7.71e-09
4680,-7.1561e-09,-2.2209e-09,7.4928e-09
4682.5,-7.0635e-09,-1.8533e-09,7.3025e-09
4685,-6.976e-09,-1.4966e-09,7.1347e-09
4687.5,-6.8899e-09,-1.144e-09,6.9842e-09
4690,-6.7996e-09,-7.9044e-10,6.8454e-09
4692.5,-6.6983e-09,-4.3288e-10,6.7123e-09
4695,-6.5785e-09,-7.0713e-11,6.5789e-09
4697.5,-6.4324e-09,2.9388e-10,6.4391e-09
4700,-6.2533e-09,6.5598e-10,6.2876e-09
4702.5,-6.0361e-09,1.0082e-09,6.1197e-09
4705,-5.778e-09,1.3414e-09,5.9317e-09
4707.5,-5.4794e-09,1.645e-09,5.721e-09
4710,-5.1438e-09,1.9089e-09,5.4866e-09
4712.5,-4.7781e-09,2.1235e-09,5.2287e-09
4715,-4.3918e-09,2.2814e-09,4.949e-09
4717.5,-3.9966e-09,2.3779e-09,4.6505e-09
4720,-3.6053e-09,2.4118e-09,4.3376e-09
4722.5,-3.2305e-09,2.3851e-09,4.0156e-09
4725,-2.8841e-09,2.3036e-09,3.6912e-09
4727.5,-2.5757e-09,2.1755e-09,3.3715e-09
4730,-2.3121e-09,2.0112e-09,3.0644e-09
4732.5,-2.0969e-09,1.8221e-09,2.778e-09
4735,-1.9306e-09,1.6195e-09,2.5199e-09
4737.5,-1.8105e-09,1.4136e-09,2.297e-09
4740,-1.7318e-09,1.2127e-09,2.1141e-09
4742.5,-1.6879e-09,1.0225e-09,1.9734e-09
4745,-1.672e-09,8.462e-10,1.8739e-09
4747.5,-1.6776e-09,6.843e-10,1.8118e-09
4750,-1.6998e-09,5.3525e-10,1.7821e-09
4752.5,-1.7353e-09,3.9617e-10,1.7799e-09
4755,-1.7831e-09,2.6373e-10,1.8025e-09
4757.5,-1.8444e-09,1.3508e-10,1.8494e-09
4760,-1.9222e-09,8.6443e-12,1.9222e-09
4762.5,-2.0203e-09,-1.1527e-10,2.0236e-09
4765,-2.143e-09,-2.3418e-10,2.1558e-09
4767.5,-2.2937e-09,-3.4344e-10,2.3193e-09
4770,-2.4744e-09,-4.3664e-10,2.5127e-09
4772.5,-2.6851e-09,-5.0627e-10,2.7324e-09
4775,-2.9231e-09,-5.4448e-10,2.9733e-09
4777.5,-3.1835e-09,-5.44e-10,3.2297e-09
4780,-3.4594e-09,-4.9896e-10,3.4952e-09
4782.5,-3.7421e-09,-4.0546e-10,3.764e-09
4785,-4.0225e-09,-2.6198e-10,4.031e-09
4787.5,-4.2913e-09,-6.9381e-11,4.2919e-09
4790,-4.5404e-09,1.6935e-10,4.5436e-09
4792.5,-4.763e-09,4.4964e-10,4.7842e-09
4795,-4.9543e-09,7.6609e-10,5.0132e-09
4797.5,-5.1113e-09,1.1133e-09,5.2311e-09
4800,-5.2326e-09,1.4867e-09,5.4397e-09
4802.5,-5.318e-09,1.8831e-09,5.6415e-09
4805,-5.3671e-09,2.3012e-09,5.8396e-09
4807.5,-5.3786e-09,2.7418e-09,6.0371e-09
4810,-5.3488e-09,3.2067e-09,6.2364e-09
4812.5,-5.2704e-09,3.6982e-09,6.4385e-09
4815,-5.1321e-09,4.2169e-09,6.6424e-09
