ref_real,ref_imag,ref_abs,opt_real,opt_imag,opt_abs,loo_real,loo_imag,loo_abs,x
-1.3346e-09,-8.0732e-09,8.1828e+05,-1.3346e-09,-8.0732e-09,8.1828e-09,-1.3346e-09,-8.0732e-09,8.1828e-09,4500
-1.8358e-09,-8.5861e-09,8.7802e+05,-1.8632e-09,-8.5793e-09,8.7793e-09,-1.7575e-09,-8.333e-09,8.5163e-09,4502.5
-2.4604e-09,-9.041e-09,9.3698e+05,-2.5117e-09,-9.0213e-09,9.3644e-09,-2.2147e-09,-8.5734e-09,8.8548e-09,4505
-3.1955e-09,-9.4115e-09,9.9392e+05,-3.2643e-09,-9.3714e-09,9.9236e-09,-2.7006e-09,-8.7899e-09,9.1954e-09,4507.5
-4.0228e-09,-9.6736e-09,1.0477e+06,-4.0974e-09,-9.6073e-09,1.0445e-08,-3.2027e-09,-8.9795e-09,9.5336e-09,4510
-4.9173e-09,-9.8068e-09,1.0971e+06,-4.9815e-09,-9.7154e-09,1.0918e-08,-3.6926e-09,-9.142e-09,9.8596e-09,4512.5
-5.8461e-09,-9.7975e-09,1.1409e+06,-5.8853e-09,-9.6924e-09,1.1339e-08,-4.0904e-09,-9.2887e-09,1.0149e-08,4515
-6.7704e-09,-9.6445e-09,1.1784e+06,-6.779e-09,-9.5452e-09,1.1708e-08,-4.0527e-09,-9.4908e-09,1.032e-08,4517.5
-7.6531e-09,-9.3634e-09,1.2093e+06,-7.6387e-09,-9.2901e-09,1.2027e-08,3.805e-09,-1.1443e-08,1.2059e-08,4520
-8.4679e-09,-8.9849e-09,1.2346e+06,-8.4494e-09,-8.9492e-09,1.2308e-08,-9.7524e-09,-8.4095e-09,1.2877e-08,4522.5
-9.2066e-09,-8.5469e-09,1.2562e+06,-9.2066e-09,-8.5469e-09,1.2562e-08,-9.2066e-09,-8.5469e-09,1.2562e-08,4525
-9.8806e-09,-8.0842e-09,1.2766e+06,-9.9166e-09,-8.1048e-09,1.2807e-08,-9.6586e-09,-8.381e-09,1.2788e-08,4527.5
-1.0516e-08,-7.6194e-09,1.2986e+06,-1.0594e-08,-7.6381e-09,1.306e-08,-1.0332e-08,-8.0816e-09,1.3117e-08,4530
-1.1147e-08,-7.1577e-09,1.3247e+06,-1.1258e-08,-7.1521e-09,1.3338e-08,-1.109e-08,-7.6732e-09,1.3485e-08,4532.5
-1.1804e-08,-6.6856e-09,1.3565e+06,-1.1929e-08,-6.641e-09,1.3653e-08,-1.1882e-08,-7.1607e-09,1.3873e-08,4535
-1.2508e-08,-6.1739e-09,1.3949e+06,-1.2623e-08,-6.0893e-09,1.4015e-08,-1.2685e-08,-6.5449e-09,1.4274e-08,4537.5
-1.3263e-08,-5.5849e-09,1.4391e+06,-1.3345e-08,-5.474e-09,1.4424e-08,-1.3479e-08,-5.8252e-09,1.4684e-08,4540
-1.4055e-08,-4.8816e-09,1.4879e+06,-1.4094e-08,-4.7692e-09,1.4879e-08,-1.4251e-08,-5.0013e-09,1.5103e-08,4542.5
-1.4853e-08,-4.0376e-09,1.5392e+06,-1.4855e-08,-3.9504e-09,1.5371e-08,-1.4988e-08,-4.0731e-09,1.5532e-08,4545
-1.5617e-08,-3.0432e-09,1.5911e+06,-1.5604e-08,-2.999e-09,1.589e-08,-1.5679e-08,-3.0409e-09,1.5971e-08,4547.5
-1.6314e-08,-1.905e-09,1.6425e+06,-1.6314e-08,-1.905e-09,1.6425e-08,-1.6314e-08,-1.905e-09,1.6425e-08,4550
-1.6919e-08,-6.3966e-10,1.6932e+06,-1.6956e-08,-6.6804e-10,1.6969e-08,-1.6883e-08,-6.6577e-10,1.6896e-08,4552.5
-1.742e-08,7.3473e-10,1.7436e+06,-1.7502e-08,7.0424e-10,1.7516e-08,-1.7377e-08,6.7741e-10,1.739e-08,4555
-1.7814e-08,2.2051e-09,1.795e+06,-1.7934e-08,2.1988e-09,1.8068e-08,-1.7784e-08,2.1259e-09,1.7911e-08,4557.5
