N, RMSE, Max
20,0.83371,2.3724
22,0.5935,1.7396
24,0.42811,1.3228
26,0.31253,0.98838
28,0.22168,0.74711
30,0.15564,0.55114
32,0.11273,0.41558
34,0.08113,0.3088
36,0.060217,0.24958
38,0.044028,0.19703
40,0.033443,0.16148
42,0.024645,0.12538
44,0.018774,0.1033
46,0.013243,0.073824
48,0.010329,0.060736
50,0.0078323,0.047384
52,0.0061118,0.0393
54,0.0044807,0.028965
56,0.0034857,0.023958
58,0.0028488,0.020893
60,0.0021305,0.016713
62,0.0017008,0.013825
64,0.0013012,0.010998
66,0.00099656,0.0087127
68,0.00082203,0.0076149
70,0.00061375,0.0058867
72,0.0005083,0.0050103
74,0.00041702,0.0041655
76,0.00032929,0.0033959
78,0.00027633,0.0028997
80,0.00021259,0.002314
