N, RMSE, Max
20,1.5879,10.002
22,1.3338,8.3713
24,1.5197,7.6041
26,1.2587,7.2705
28,1.0261,7.4757
30,1.3338,6.9689
32,0.89275,6.7649
34,0.98569,6.6356
36,0.85613,6.5572
38,0.77692,6.0467
40,0.64407,5.3166
42,0.53671,4.1585
44,0.4252,3.7019
46,0.2259,2.2984
48,0.16364,1.516
50,0.16101,1.8315
52,0.052223,0.40698
54,0.064654,0.70888
56,0.045364,0.54546
58,0.022553,0.24956
60,0.02247,0.24278
62,0.015579,0.18225
64,0.012192,0.12519
66,0.0080237,0.093648
68,0.0061985,0.070519
70,0.018264,0.16198
72,0.0035476,0.042487
74,0.016887,0.1534
76,0.0078916,0.085617
78,0.0047836,0.041328
80,0.00095645,0.0098675
