N, RMSE, Max
20,1.4106,7.8646
22,1.3368,8.415
24,1.6022,7.7717
26,1.3084,7.436
28,1.0509,7.5815
30,1.5187,6.8932
32,0.92088,6.8536
34,1.1099,6.8234
36,0.96205,6.6054
38,0.86494,6.2941
40,0.97198,6.3699
42,0.82345,5.2696
44,0.86909,6.0119
46,0.8738,5.2432
48,0.87107,4.8224
50,0.67726,5.4898
52,0.86512,4.8597
54,0.63563,5.0672
56,0.64459,4.9748
58,0.69736,4.7504
60,0.56087,4.0554
62,0.61474,4.5286
64,0.5761,4.0007
66,0.5674,3.912
68,0.51394,3.9043
70,0.53786,3.4574
72,0.45103,3.7528
74,0.48164,3.1592
76,0.43706,3.5169
78,0.39862,3.3489
80,0.43982,3.0239
