N, RMSE, Max
20,1.4853,7.8316
22,1.7586,8.6066
24,2.0724,11.851
26,1.7834,8.0674
28,2.2906,22.21
30,1.3276,7.8489
32,1.365,7.9946
34,1.9694,11.236
36,1.1245,7.6738
38,2.0282,24.06
40,0.86881,8.8808
42,1.6241,18.802
44,0.55401,5.1047
46,0.65829,7.7199
48,0.3495,3.1295
50,0.8082,10.777
52,0.19157,1.676
54,0.62473,8.6121
56,0.080947,0.9091
58,0.1253,1.6413
60,0.055955,0.66358
62,0.070687,0.74227
64,0.045347,0.44859
66,0.012877,0.10076
68,0.028439,0.31539
70,0.015229,0.16266
72,0.0079651,0.0919
74,0.008149,0.078738
76,0.0038933,0.033934
78,0.0038557,0.047705
80,0.0030092,0.027459
