N, RMSE, Max
20,6.7241,87.13
22,1.0266,3.9551
24,1.0405,7.2156
26,0.61561,2.2967
28,0.76931,2.5197
30,0.75954,3.3571
32,0.62439,3.0292
34,0.70157,4.3136
36,0.65058,3.7695
38,0.56515,3.3706
40,0.32031,1.9765
42,0.22208,1.8228
44,0.22708,2.3877
46,0.15088,1.1562
48,0.084496,0.4668
50,0.092534,0.61556
52,0.036272,0.3118
54,0.025305,0.20542
56,0.023751,0.18965
58,0.015373,0.11563
60,0.010131,0.076323
62,0.018523,0.14057
64,0.0071736,0.06264
66,0.0062308,0.055487
68,0.0054483,0.049768
70,0.0017685,0.016974
72,0.0037497,0.032637
74,0.0011007,0.009731
76,0.0007457,0.0075249
78,0.0005143,0.0037083
80,0.0003749,0.0035007
