N, RMSE, Max
20,1.0235,3.0928
22,0.92058,2.7862
24,0.62106,1.7025
26,0.43816,1.9217
28,0.26259,0.69733
30,0.25242,1.3197
32,0.14111,0.84723
34,0.093372,0.52874
36,0.054299,0.30476
38,0.046496,0.27184
40,0.035964,0.21113
42,0.028861,0.1881
44,0.023087,0.15114
46,0.016121,0.083259
48,0.015753,0.10558
50,0.0054455,0.031033
52,0.008368,0.052793
54,0.0068289,0.054735
56,0.0037967,0.02342
58,0.0053024,0.042173
60,0.0038699,0.030252
62,0.0018969,0.01497
64,0.0024703,0.023874
66,0.001747,0.018205
68,0.0012394,0.012275
70,0.00075103,0.0071225
72,0.0010458,0.010992
74,0.00077932,0.0084417
76,0.00066737,0.0076804
78,0.00054369,0.0063775
80,0.00028181,0.0027328
