N, RMSE, Max
20,2.7579,22.876
22,2.4706,17.143
24,0.90386,2.6548
26,0.95988,2.3743
28,0.64875,1.9263
30,1.0282,2.4895
32,1.0994,4.8705
34,0.91208,2.7448
36,1.4226,13.806
38,1.0185,3.2191
40,0.1754,0.78777
42,0.19417,0.75065
44,0.077167,0.35495
46,0.11508,0.60686
48,0.097253,0.57082
50,0.12352,1.3348
52,0.0458,0.40335
54,0.029735,0.25138
56,0.023436,0.18676
58,0.013532,0.10593
60,0.018827,0.10513
62,0.058473,0.4459
64,0.013695,0.081905
66,0.0043169,0.029833
68,0.0045806,0.032494
70,0.0019062,0.018703
72,0.0015293,0.015355
74,0.00084296,0.0060978
76,0.00077972,0.0087293
78,0.00062419,0.0062272
80,0.00033654,0.0031871
