N, LooCheap, StabCheap, CombCheap, LooExp, StabExp, CombExp
10,0.022781,0.022781,0.022781,0.042471,0.042471,0.042471
11,0.019449,0.019449,0.019449,0.019449,0.037926,0.037926
12,0.157,0.157,0.157,0.157,0.038091,0.015925
13,0.0082675,0.0082675,0.0082675,0.010101,0.02907,0.010101
14,0.0033994,0.0033994,0.0033994,0.018757,0.018757,0.018757
15,0.0028552,0.0028552,0.0028552,0.0028552,0.0028552,0.0028552
16,0.0032725,0.0032725,0.0032725,0.0040206,0.0040206,0.0040206
17,0.0032612,0.0032612,0.0032612,0.0032612,0.0032678,0.0032612
18,0.0020446,0.0020446,0.0020446,0.0030476,0.0024226,0.0030476
19,0.030458,0.030458,0.030458,0.030458,0.0010387,0.0010387
20,0.0031708,0.0031708,0.0031708,0.0031708,0.0031708,0.0031708
21,0.0087489,0.00078852,0.0087489,0.0087489,0.00071285,0.00071285
22,0.0017813,0.0017813,0.0017813,0.0017813,0.00057685,0.00057685
23,0.00093117,0.00093117,0.00093117,0.00049277,0.00049277,0.00049277
24,0.0010247,0.0010247,0.0010247,0.00042785,0.00042785,0.00042785
25,0.0005216,0.0005216,0.0005216,0.00058778,0.00058778,0.00058778
26,0.00058953,0.00060188,0.00058953,0.00058953,0.00058953,0.00058953
27,0.00022594,0.00022594,0.00022594,0.00022535,0.00022535,0.00022535
28,0.0066496,0.00022595,0.00022595,0.00016105,0.00016105,0.00016105
29,9.7502e-05,9.7502e-05,9.7502e-05,0.00071383,9.7502e-05,9.7502e-05
30,0.0002783,0.0002783,0.0002783,8.5067e-05,8.5067e-05,8.5067e-05
31,8.0687e-05,0.00012831,0.00012831,8.0687e-05,8.0687e-05,8.0687e-05
32,0.00020968,0.00020968,0.00020968,6.0905e-05,6.0905e-05,6.0905e-05
34,4.916e-05,4.916e-05,4.916e-05,2.2145e-05,2.2145e-05,2.2145e-05
36,2.5987e-05,2.5987e-05,2.5987e-05,2.2422e-05,2.2422e-05,2.2422e-05
38,2.0219e-05,1.1158e-05,2.0219e-05,2.0219e-05,2.0219e-05,2.0219e-05
40,1.479e-05,1.479e-05,1.479e-05,1.4822e-05,1.4822e-05,1.4822e-05
42,1.0252e-05,1.0252e-05,1.0252e-05,1.1532e-05,1.1532e-05,1.1532e-05
44,5.3429e-06,5.3429e-06,5.3429e-06,5.3429e-06,5.3429e-06,5.3429e-06
46,4.9096e-06,4.9096e-06,4.9096e-06,4.9096e-06,4.9096e-06,4.9096e-06
48,2.5911e-06,2.5911e-06,2.5911e-06,3.2486e-06,3.2486e-06,3.2486e-06
50,2.3712e-06,2.3712e-06,2.3712e-06,2.3712e-06,2.3712e-06,2.3712e-06
