N, RMSE, Max
10,0.067383,0.30284
11,0.016306,0.069805
12,0.02208,0.11706
13,0.016767,0.079142
14,0.019593,0.085416
15,0.0037963,0.014311
16,0.006801,0.034496
17,0.0025858,0.0094689
18,0.0024029,0.01155
19,0.0018999,0.007784
20,0.0028345,0.01885
21,0.0021478,0.010925
22,0.0023196,0.017683
23,0.00088964,0.0050448
24,0.0007408,0.0042076
25,0.00051077,0.0027472
26,0.00041331,0.0020683
27,0.00056428,0.0028792
28,0.00026999,0.0014124
29,0.00032776,0.0014734
30,0.00046199,0.0021292
31,0.00023136,0.0011928
32,0.00029552,0.0013552
34,0.00044473,0.0044389
36,0.00012325,0.00071482
38,0.00020209,0.0014554
40,2.7088e-05,0.00017171
42,1.1741e-05,9.937e-05
44,9.9583e-06,8.2738e-05
46,1.4152e-05,0.00010481
48,9.1531e-06,9.2301e-05
50,1.5424e-06,1.4172e-05
