x,y_ref_real,y_ref_imag,y_ref_abs
10000,116.64,22.242,118.74
10075,118.3,21.329,120.21
10150,119.75,20.119,121.43
10225,120.95,18.785,122.4
10300,121.97,17.464,123.22
10375,122.94,16.189,124
10450,123.95,14.901,124.84
10525,125.03,13.505,125.76
10600,126.16,11.895,126.72
10675,127.23,9.9726,127.62
10750,128.06,7.6986,128.29
10825,128.43,5.1639,128.54
10900,128.18,2.6154,128.21
10975,127.32,0.3888,127.32
11050,126.07,-1.2195,126.08
11125,124.78,-2.0656,124.8
11200,123.85,-2.2102,123.87
11275,123.58,-1.9065,123.6
11350,124.14,-1.53,124.15
11425,125.48,-1.4792,125.49
11500,127.38,-2.0846,127.4
11575,129.52,-3.5458,129.57
11650,131.52,-5.8975,131.65
11725,133.02,-9.0125,133.33
11800,133.79,-12.645,134.39
11875,133.68,-16.475,134.69
11950,132.71,-20.151,134.23
12025,131.06,-23.371,133.13
12100,129.03,-25.99,131.62
12175,126.89,-28.045,129.95
12250,124.79,-29.672,128.27
12325,122.77,-30.995,126.62
12400,120.81,-32.06,124.99
12475,118.93,-32.861,123.39
12550,117.21,-33.404,121.87
12625,115.74,-33.767,120.56
12700,114.57,-34.099,119.53
12775,113.63,-34.562,118.77
12850,112.8,-35.256,118.18
12925,111.89,-36.2,117.6
13000,110.74,-37.321,116.86
13075,109.25,-38.479,115.83
13150,107.39,-39.496,114.42
13225,105.19,-40.196,112.61
13300,102.78,-40.421,110.44
13375,100.34,-40.059,108.04
13450,98.115,-39.092,105.62
13525,96.352,-37.647,103.45
13600,95.181,-35.958,101.75
13675,94.579,-34.264,100.59
13750,94.421,-32.713,99.927
13825,94.569,-31.323,99.621
13900,94.952,-29.997,99.577
13942,95.297,-29.203,99.671
13943,95.307,-29.183,99.675
13944,95.317,-29.163,99.679
13945,95.327,-29.143,99.682
13946,95.337,-29.123,99.686
13947,95.348,-29.102,99.69
13948,95.358,-29.082,99.694
13949,95.369,-29.062,99.698
13950,95.379,-29.041,99.703
13951,95.39,-29.021,99.707
13952,95.401,-29,99.711
13953,95.412,-28.98,99.716
13954,95.423,-28.959,99.72
13955,95.434,-28.938,99.725
13956,95.446,-28.917,99.73
13957,95.457,-28.896,99.735
13958,95.469,-28.875,99.74
13959,95.48,-28.854,99.745
13960,95.492,-28.833,99.75
13961,95.504,-28.812,99.755
13962,95.516,-28.79,99.761
13963,95.528,-28.769,99.766
13964,95.541,-28.747,99.772
13965,95.553,-28.726,99.777
13966,95.566,-28.704,99.783
13967,95.578,-28.682,99.789
13968,95.591,-28.66,99.795
13969,95.604,-28.638,99.801
13970,95.617,-28.616,99.808
13971,95.631,-28.594,99.814
13972,95.644,-28.572,99.821
13973,95.658,-28.549,99.827
13974,95.672,-28.527,99.834
13975,95.686,-28.504,99.841
13975,95.686,-28.504,99.841
13976,95.7,-28.481,99.848
13977,95.714,-28.459,99.855
13978,95.729,-28.436,99.863
13979,95.743,-28.413,99.87
13980,95.758,-28.39,99.878
13981,95.773,-28.367,99.886
