x,y_ref_real,y_ref_imag,y_ref_abs
7,0.42186,0.11975,0.43853
7.01,0.42515,0.10905,0.43891
7.02,0.42818,0.098329,0.43932
7.03,0.43095,0.087573,0.43976
7.04,0.43347,0.07679,0.44022
7.05,0.43574,0.065985,0.4407
7.06,0.43776,0.055162,0.44122
7.07,0.43953,0.044326,0.44176
7.08,0.44107,0.033479,0.44234
7.09,0.44236,0.022627,0.44294
7.1,0.44341,0.011771,0.44357
7.11,0.44423,0.00091629,0.44423
7.12,0.44481,-0.0099345,0.44492
7.13,0.44516,-0.020778,0.44565
7.14,0.44528,-0.031611,0.4464
7.15,0.44517,-0.042432,0.44719
7.16,0.44484,-0.053236,0.44802
7.17,0.44428,-0.064023,0.44887
7.18,0.44351,-0.074788,0.44977
7.19,0.44251,-0.08553,0.4507
7.2,0.44129,-0.096246,0.45166
7.21,0.43986,-0.10693,0.45267
7.22,0.43821,-0.11759,0.45372
7.23,0.43635,-0.12822,0.4548
7.24,0.43428,-0.13882,0.45593
7.25,0.432,-0.14938,0.4571
7.26,0.42951,-0.1599,0.45831
7.27,0.42682,-0.17039,0.45957
7.28,0.42392,-0.18083,0.46088
7.29,0.42081,-0.19124,0.46223
7.3,0.41751,-0.20161,0.46363
7.31,0.41399,-0.21194,0.46509
7.32,0.41028,-0.22222,0.4666
7.33,0.40637,-0.23246,0.46816
7.34,0.40225,-0.24266,0.46978
7.35,0.39794,-0.25281,0.47145
7.36,0.39342,-0.26292,0.47319
7.37,0.3887,-0.27299,0.47499
7.38,0.38378,-0.28301,0.47685
7.39,0.37866,-0.29299,0.47878
7.4,0.37333,-0.30293,0.48077
7.41,0.36781,-0.31282,0.48284
7.42,0.36207,-0.32267,0.48499
7.43,0.35613,-0.33248,0.48721
7.44,0.34998,-0.34225,0.48951
7.45,0.34361,-0.35198,0.49189
7.46,0.33703,-0.36167,0.49436
7.47,0.33023,-0.37133,0.49692
7.48,0.3232,-0.38094,0.49958
7.49,0.31595,-0.39052,0.50233
7.5,0.30847,-0.40006,0.50518
7.51,0.30074,-0.40958,0.50813
7.52,0.29277,-0.41905,0.5112
7.53,0.28455,-0.4285,0.51438
7.54,0.27607,-0.43792,0.51767
7.55,0.26731,-0.44731,0.52109
7.56,0.25828,-0.45667,0.52464
7.57,0.24895,-0.466,0.52833
7.58,0.23932,-0.4753,0.53215
7.59,0.22937,-0.48457,0.53612
7.6,0.21909,-0.49382,0.54024
7.61,0.20846,-0.50303,0.54451
7.62,0.19746,-0.51221,0.54895
7.63,0.18607,-0.52136,0.55357
7.64,0.17428,-0.53046,0.55835
7.65,0.16205,-0.53952,0.56333
7.66,0.14936,-0.54852,0.56849
7.67,0.13619,-0.55746,0.57385
7.68,0.1225,-0.56632,0.57942
7.69,0.10825,-0.57509,0.58519
7.7,0.093423,-0.58375,0.59118
7.71,0.077965,-0.59228,0.59739
7.72,0.061838,-0.60066,0.60383
7.73,0.044998,-0.60884,0.6105
7.74,0.027398,-0.61678,0.61739
7.75,0.0089888,-0.62445,0.62452
7.76,-0.010281,-0.63179,0.63187
7.77,-0.030465,-0.63872,0.63945
7.78,-0.051614,-0.64518,0.64724
7.79,-0.073782,-0.65106,0.65523
7.8,-0.097017,-0.65626,0.6634
7.81,-0.12136,-0.66066,0.67172
7.82,-0.14686,-0.66411,0.68015
7.83,-0.17352,-0.66645,0.68867
7.84,-0.20136,-0.66748,0.6972
7.85,-0.23037,-0.66702,0.70568
7.86,-0.26049,-0.66482,0.71403
7.87,-0.29166,-0.66063,0.72215
7.88,-0.32373,-0.65421,0.72992
7.89,-0.35653,-0.64527,0.73721
7.9,-0.38983,-0.63355,0.74387
7.91,-0.4233,-0.6188,0.74973
7.92,-0.45657,-0.6008,0.7546
7.93,-0.48918,-0.5794,0.75828
7.94,-0.5206,-0.5545,0.76059
7.95,-0.55028,-0.52612,0.76132
7.96,-0.5776,-0.49439,0.76029
7.97,-0.60197,-0.45959,0.75735
7.98,-0.62283,-0.42211,0.75239
7.99,-0.6397,-0.38251,0.74534
8,-0.65221,-0.34143,0.73617
8.01,-0.66015,-0.2996,0.72495
8.02,-0.66346,-0.25779,0.71178
8.03,-0.66226,-0.21675,0.69683
8.04,-0.65683,-0.1772,0.68031
8.05,-0.64759,-0.13972,0.66249
8.06,-0.63503,-0.10482,0.64362
8.07,-0.61973,-0.072824,0.624
8.08,-0.60229,-0.043958,0.60389
8.09,-0.58328,-0.018301,0.58357
8.1,-0.56325,0.0041732,0.56327
8.11,-0.54268,0.023579,0.54319
8.12,-0.52199,0.040098,0.52352
8.13,-0.50151,0.053957,0.50441
8.14,-0.48154,0.065405,0.48596
8.15,-0.46227,0.074705,0.46827
8.16,-0.44386,0.082116,0.45139
8.17,-0.42642,0.08789,0.43538
8.18,-0.41001,0.092258,0.42026
8.19,-0.39466,0.095436,0.40603
8.2,-0.38037,0.097618,0.39269
8.21,-0.36712,0.098977,0.38023
8.22,-0.3549,0.099665,0.36863
8.23,-0.34365,0.099814,0.35785
8.24,-0.33334,0.099541,0.34788
8.25,-0.3239,0.098943,0.33868
8.26,-0.31529,0.098107,0.3302
8.27,-0.30745,0.097104,0.32242
8.28,-0.30033,0.095995,0.3153
8.29,-0.29387,0.094831,0.30879
8.3,-0.28803,0.093656,0.30287
8.31,-0.28275,0.092506,0.2975
8.32,-0.278,0.091409,0.29264
8.33,-0.27372,0.09039,0.28826
8.34,-0.26988,0.089469,0.28432
8.35,-0.26644,0.088662,0.2808
8.36,-0.26336,0.087982,0.27767
8.37,-0.26061,0.087438,0.27489
8.38,-0.25816,0.087037,0.27244
8.39,-0.25599,0.086786,0.2703
8.4,-0.25405,0.086689,0.26844
8.41,-0.25234,0.086747,0.26684
8.42,-0.25083,0.086963,0.26547
8.43,-0.24949,0.087336,0.26433
8.44,-0.24831,0.087866,0.2634
8.45,-0.24727,0.088552,0.26264
8.46,-0.24635,0.089392,0.26206
8.47,-0.24553,0.090384,0.26164
8.48,-0.24481,0.091525,0.26136
8.49,-0.24417,0.092813,0.26121
8.5,-0.24359,0.094244,0.26119
8.51,-0.24307,0.095816,0.26127
8.52,-0.24259,0.097523,0.26146
8.53,-0.24214,0.099364,0.26174
8.54,-0.24172,0.10133,0.2621
8.55,-0.24132,0.10343,0.26255
8.56,-0.24092,0.10565,0.26306
8.57,-0.24052,0.10798,0.26365
8.58,-0.24011,0.11043,0.26429
8.59,-0.23969,0.11299,0.26499
8.6,-0.23925,0.11565,0.26574
8.61,-0.23878,0.11842,0.26653
8.62,-0.23828,0.12129,0.26737
8.63,-0.23774,0.12425,0.26825
8.64,-0.23716,0.1273,0.26917
8.65,-0.23654,0.13044,0.27012
8.66,-0.23586,0.13366,0.2711
8.67,-0.23513,0.13696,0.27211
8.68,-0.23434,0.14034,0.27315
8.69,-0.23348,0.14379,0.27421
8.7,-0.23257,0.14731,0.2753
8.71,-0.23158,0.1509,0.2764
8.72,-0.23052,0.15455,0.27753
8.73,-0.22938,0.15825,0.27868
8.74,-0.22817,0.16202,0.27984
8.75,-0.22688,0.16583,0.28102
8.76,-0.22551,0.16969,0.28222
8.77,-0.22405,0.1736,0.28343
8.78,-0.2225,0.17755,0.28466
