x,y_real, y_imag
4500,-1.3346e-09,-8.0732e-09
4525,-9.2066e-09,-8.5469e-09
4550,-1.6314e-08,-1.905e-09
4575,-1.6895e-08,1.559e-08
4600,1.9871e-08,3.2061e-08
4625,1.6051e-08,-2.5292e-08
4650,-7.6155e-09,-1.0821e-08
4675,-7.3631e-09,-3.02e-09
4700,-6.2533e-09,6.5598e-10
4725,-2.8841e-09,2.3036e-09
4750,-1.6998e-09,5.3525e-10
4775,-2.9231e-09,-5.4448e-10
4800,-5.2326e-09,1.4867e-09
4825,-3.6496e-09,6.3652e-09
4850,3.1235e-09,4.638e-09
4875,2.0136e-09,-6.2765e-10
4900,-8.0153e-10,4.8726e-10
4925,-7.7201e-10,4.0619e-10
4950,-2.1933e-09,1.6154e-09
4975,-5.2501e-10,4.0158e-09
5000,1.7162e-09,2.7414e-09
