N, e1,e2,e3,e4,e5,e6
10,0.042471,0.031455,0.022781,NaN,NaN,NaN
11,0.037926,0.021958,0.019449,NaN,NaN,NaN
12,0.038091,0.018168,0.015925,0.157,NaN,NaN
13,0.02907,0.010101,0.0082675,0.0085077,NaN,NaN
14,0.018757,0.0042775,0.0033994,0.0043567,NaN,NaN
15,0.014382,0.00338,0.0028552,0.0029056,NaN,NaN
16,0.012494,0.0036054,0.0040206,0.0039617,0.0032725,NaN
17,0.0091209,0.0029669,0.003018,0.0032678,0.0032612,NaN
18,0.0067221,0.0030476,0.0024226,0.0022922,0.0020446,NaN
19,0.0055997,0.0019007,0.0010387,0.1909,0.030458,NaN
20,0.0047861,0.0014539,0.00067919,0.00080744,0.0024629,0.0031708
21,0.0035873,0.00078162,0.00055069,0.00071285,0.00078852,0.0087489
22,0.0025972,0.00061397,0.00057685,0.00073989,0.0011015,0.0017813
23,0.0019884,0.0005403,0.00049277,0.0006478,0.00093117,175.3
24,0.0016241,0.0005251,0.00042785,0.00064211,0.000777,0.0010247
25,0.0012004,0.00048687,0.00036993,0.00058778,0.00059318,0.0005216
26,0.00084537,0.00044438,0.00028643,0.00058953,0.00063117,0.00060188
27,0.00063101,0.0003345,0.00022535,0.00034871,0.00022052,0.00022594
28,0.00053683,0.00025721,0.00016105,0.00024567,0.00022595,0.0066496
29,0.00042018,0.00017659,9.7502e-05,0.00018209,0.00018515,0.00071383
30,0.0002968,0.00014575,8.5067e-05,0.00014951,0.00030303,0.0002783
31,0.00018705,0.00013343,8.0687e-05,0.0001004,0.00012831,0.00021188
32,0.00012989,0.00012306,6.0905e-05,6.1241e-05,0.00014332,0.00020968
34,8.7565e-05,9.0437e-05,2.8451e-05,2.2145e-05,4.7928e-05,4.916e-05
36,3.3502e-05,6.0137e-05,1.3845e-05,2.2422e-05,1.6542e-05,2.5987e-05
38,1.8191e-05,4.8416e-05,1.1348e-05,2.0219e-05,1.7899e-05,1.1158e-05
40,1.4904e-05,2.9097e-05,1.4822e-05,1.8148e-05,1.5465e-05,1.479e-05
42,1.165e-05,1.7893e-05,1.1532e-05,1.0687e-05,1.0454e-05,1.0252e-05
44,6.7506e-06,1.9939e-05,7.5394e-06,6.1087e-06,4.012e-06,5.3429e-06
46,4.293e-06,9.0777e-06,6.8034e-06,6.0541e-06,4.7998e-06,4.9096e-06
48,3.5833e-06,6.0606e-06,4.9604e-06,4.5495e-06,3.2486e-06,2.5911e-06
50,4.7801e-06,6.9692e-06,2.8455e-06,3.0358e-06,1.9861e-06,2.3712e-06
