N, RMSE, Max
20,3.687,28.519
22,2.4692,18.146
24,1.7261,12.057
26,1.3323,9.2942
28,0.99887,6.7732
30,0.8482,6.5014
32,0.61342,4.7005
34,0.42513,3.2134
36,0.35238,2.8973
38,0.21484,1.4212
40,0.16608,1.193
42,0.1193,0.86082
44,0.10735,0.91387
46,0.06246,0.41717
48,0.063461,0.52684
50,0.043609,0.36242
52,0.031277,0.24542
54,0.018792,0.13177
56,0.018047,0.14955
58,0.012474,0.095863
60,0.0094519,0.077245
62,0.007973,0.070568
64,0.0053468,0.045864
66,0.0044889,0.040894
68,0.0036095,0.032661
70,0.0028341,0.026795
72,0.0020544,0.019871
74,0.0016636,0.016379
76,0.0014669,0.01542
78,0.0010288,0.010833
80,0.00093092,0.010362
