N, RMSE, Max
20,3.5318,9.116
22,4.9376,11.829
24,14.069,31.86
26,21.899,50.908
28,17.7,44.377
30,5.9771,16.572
32,1.2847,3.8144
34,0.88697,2.6219
36,0.73836,2.2194
38,0.62063,1.9204
40,0.52635,1.727
42,0.44407,1.5503
44,0.37468,1.3443
46,0.31718,1.1855
48,0.26545,1.02
50,0.22139,0.89321
52,0.18669,0.79134
54,0.15863,0.70932
56,0.1361,0.63767
58,0.11722,0.58556
60,0.099962,0.53526
62,0.085296,0.47919
64,0.07207,0.42412
66,0.061239,0.37776
68,0.053034,0.34429
70,0.046782,0.32612
72,0.041314,0.30886
74,0.036356,0.28667
76,0.032118,0.26607
78,0.027839,0.2372
80,0.024169,0.2136
