N, RMSE, Max
20,0.82114,2.3713
22,0.59029,1.7615
24,0.42316,1.305
26,0.30926,1.0154
28,0.21931,0.76083
30,0.1592,0.60034
32,0.11769,0.46023
34,0.085875,0.34601
36,0.061323,0.26743
38,0.045416,0.20977
40,0.035458,0.17773
42,0.027548,0.15473
44,0.019826,0.11492
46,0.015054,0.091176
48,0.011534,0.071521
50,0.0083587,0.053297
52,0.0065929,0.043873
54,0.0051719,0.0359
56,0.0040771,0.029303
58,0.0031244,0.023371
60,0.0024784,0.019821
62,0.0019942,0.016867
64,0.0016281,0.014483
66,0.0012494,0.011429
68,0.0010148,0.0094851
70,0.00075357,0.0074419
72,0.00059859,0.0059672
74,0.00048998,0.0049411
76,0.00040141,0.0041827
78,0.00032302,0.0034729
80,0.00025007,0.0027964
