N, RMSE, Max
20,2.8218,16.576
22,2.4577,16.061
24,2.7745,18.883
26,2.026,13.859
28,1.6255,12.819
30,1.8461,14.697
32,1.2097,9.4892
34,1.2828,10.952
36,1.0923,9.1048
38,0.85945,7.5359
40,1.0223,10.506
42,0.79005,8.2309
44,0.66099,7.1594
46,0.60212,6.7716
48,0.46767,5.0933
50,0.4015,4.5751
52,0.15593,1.3373
54,0.22558,2.581
56,0.1359,1.5285
58,0.091188,0.97878
60,0.089433,0.9964
62,0.10615,1.334
64,0.039386,0.41966
66,0.032121,0.34358
68,0.024632,0.27941
70,0.012544,0.098843
72,0.013763,0.15523
74,0.0073851,0.060726
76,0.0067135,0.061959
78,0.0053899,0.048515
80,0.0049956,0.037942
