N, RMSE, Max
20,1.5673,8.0296
22,1.6023,8.974
24,1.5904,8.1255
26,1.2814,7.5327
28,1.0872,7.9607
30,1.5202,7.0563
32,0.90704,6.7801
34,1.1084,6.8066
36,0.96971,6.6104
38,0.86218,6.2989
40,0.96794,6.3603
42,0.82299,5.2781
44,0.86975,6.0314
46,0.87743,5.2563
48,0.87053,4.8169
50,0.67748,5.4928
52,0.86731,4.8556
54,0.63548,5.0714
56,0.64515,4.9731
58,0.69814,4.7525
60,0.56097,4.0553
62,0.61428,4.5275
64,0.57713,4.0001
66,0.5668,3.9128
68,0.51448,3.9035
70,0.53811,3.4573
72,0.45113,3.7557
74,0.48244,3.1584
76,0.4371,3.5184
78,0.39888,3.3497
80,0.44006,3.0232
