N, RMSE, Max
20,0.93234,2.7949
22,0.76438,2.2982
24,0.61695,2.0723
26,0.35955,1.0348
28,0.31073,0.97259
30,0.25242,1.3197
32,0.094883,0.39286
34,0.066827,0.24295
36,0.059462,0.28064
38,0.049524,0.30647
40,0.030458,0.19573
42,0.047628,0.32441
44,0.038827,0.26373
46,0.016371,0.081837
48,0.016751,0.11909
50,0.0073538,0.043261
52,0.008368,0.052793
54,0.0063471,0.039457
56,0.0050067,0.032954
58,0.0048461,0.030094
60,0.0030672,0.024105
62,0.0027315,0.021186
64,0.0018017,0.013999
66,0.0014568,0.010227
68,0.00073821,0.0056045
70,0.00058776,0.0055734
72,0.00052598,0.0045592
74,0.0005202,0.0054244
76,0.00045376,0.0048817
78,0.00033553,0.003234
80,0.00028155,0.0028983
