Poles_Re, Poles_Im, Residues_Re, Residues_Im
-515.4,12473,560.32,23.152
-575.08,6139.6,340.46,31.889
-521.71,25547,4989.2,101.89
-450.33,9773.4,741.36,34.16
-459.23,16306,1319.8,37.171
-506.58,26929,1815.3,34.148
-592.42,35097,1101.6,18.594
-436.9,13623,660.88,21.195
-501.98,26203,585.58,11.218
-468.76,7907.1,444.94,26.377
-553.95,8994.3,557.74,34.35
-560.57,8797.6,356.65,22.726
-484.91,11450,1023.6,43.351
-440.82,7096.9,282.74,17.562
-413.42,61177,3288.7,22.224
-439.73,14290,363.93,11.199
-454.48,15471,559.99,16.45
-519.76,10790,430.47,20.736
-574.62,36976,1363.4,21.188
-425.65,12953,1049.6,34.489
-591.64,7558.6,308.37,24.137
-536.63,6340.7,257.77,21.816
-548.39,12479,718.9,31.592
-596.58,6398.8,353.25,32.935
-483.22,7655.9,283.26,17.879
-506.32,20726,277.82,6.7867
-535.84,14733,1911.4,69.519
-502.58,20639,2870.2,69.891
-459.82,11916,1182.9,45.647
-421.08,5427.1,282.73,21.937
-456.99,42092,1743,18.924
-553.77,14245,555.49,21.594
-528.16,15365,260.42,8.9516
-560.27,9969.3,449.23,25.246
-503.42,6351.8,353.47,28.015
-446.42,23670,714.82,13.482
-525.59,8426.7,356.04,22.207
-460.8,13229,296.6,10.331
-405.91,21748,3710.6,69.255
-580.67,6185.3,327.81,30.774
-484.07,16645,252.67,7.3485
-485.23,7995.8,328.62,19.942
-548.25,16866,790.08,25.682
-589.69,5691,312.57,32.388
-414.5,13348,1688.5,52.431
-434.54,9101.6,525.76,25.102
-464.47,5279.1,273.77,24.087
-449.68,14180,760.03,24.103
-499.1,9239.4,773.07,41.76
-564.89,17633,1440.7,46.153
-570.79,36517,3655,57.131
-519.17,6152.2,359.77,30.36
-448.03,11919,995.83,37.434
-437.3,27212,827.08,13.291
-548.68,7405.6,483.56,35.827
-447.44,18612,2482.8,59.687
-507.9,8182.7,419.88,26.062
-549.86,13293,1320,54.602
-445.65,11865,409.94,15.397
-434.9,7495.5,349.76,20.294
-407.95,14351,1698.2,48.273
-429.51,23577,563.88,10.273
-570.29,14218,352.27,14.13
-420.93,8131.4,563.74,29.182
-444.73,20056,2565.3,56.883
-406.55,8968.9,447.15,20.269
-535.27,11323,367.32,17.365
-446.34,11840,463.7,17.481
-482.72,5457.7,263.89,23.34
-427.86,9549.3,411.71,18.447
-475.44,15725,275.26,8.3222
-484.89,12378,1384.3,54.228
-494.59,23740,1371.3,28.569
-484.57,6034.4,305.99,24.571
-420.55,8102.9,584.39,30.331
-554.52,15339,1207.2,43.642
-427.44,6574.5,268.49,17.456
-484.86,10912,657.24,29.204
-454.39,7119.4,327.54,20.905
-460.2,6243.7,337.98,24.911
-534.48,9387.4,281.17,16.009
-503.56,6594.6,389.11,29.712
-438.02,7441.7,327.48,19.276
-493.83,20274,655.39,15.963
-467.91,17518,815.84,21.791
-540.9,6688.3,277.44,22.437
-445.22,14039,547.42,17.361
-569,12149,258.64,12.113
-505.25,13420,367.5,13.835
-500.12,6746.9,390.25,28.928
-450.74,15891,1572.2,44.594
-437.23,5197.2,262.6,22.092
-494.36,11753,523.65,22.025
-596.36,8207.4,417.03,30.302
-426.58,9595.8,571.13,25.39
-456.69,11953,908.51,34.711
-560.13,16088,275.27,9.5836
-532.96,7402.6,420.17,30.25
-455.75,22326,4741.4,96.787
-462.93,8378.9,392.9,21.708
-483.99,17252,693.84,19.465
-520.56,7684.3,453.96,30.753
-543.87,22181,280.38,6.8747
-571.46,13308,642,27.569
-536.22,5423.7,273.79,27.069
-447.4,7983,389.29,21.817
-585.14,21105,3844.4,106.59
-556.24,6527.1,267.96,22.836
-461.48,6508.1,353.93,25.097
-460.99,5300.2,250.64,21.8
-576.23,18145,1169.7,37.148
-425.22,28830,1386.7,20.453
-526.69,6004.3,267.1,23.43
-455.54,8646.9,351.13,18.499
-565.44,36076,2218.3,34.768
-472.9,7289.2,325.65,21.127
-546.67,19670,326.29,9.0682
-438.48,10588,269.72,11.17
-496.29,6546.8,344.38,26.106
-560.72,49182,1487.6,16.96
-479.4,32756,3629.2,53.115
-432.31,68900,3337.8,20.943
-529.8,18045,3251.3,95.457
-550.67,12073,880.59,40.166
-456.04,9354.8,288.34,14.056
-490.27,6890.1,444.93,31.659
-580.09,9022.2,434.65,27.946
-574.4,7791.1,294.14,21.686
-541.44,15631,1488.4,51.558
-518.18,16226,793.09,25.328
-563.48,10996,412.22,21.123
-581.53,7970.6,257.44,18.782
-400.5,12320,428.83,13.94
-479.45,24692,3691.9,71.687
-512.28,6565.9,308.41,24.063
-546.78,27897,921.4,18.06
-417.49,5594.6,306.09,22.842
-479.95,8821.6,597.42,32.503
-455.92,5916,287.24,22.136
-484.7,6544.5,329.05,24.37
-499.6,18510,432.21,11.666
-532,16550,1391.7,44.739
-499.25,22219,2338.2,52.538
-524.09,14809,1512.6,53.531
-516.49,23838,2707.8,58.67
-485.67,15110,1643.4,52.824
-401,11635,945.45,32.584
-438.9,6932.7,343.72,21.76
-464.04,8196.3,429.75,24.331
-429.4,45682,4036.9,37.946
-519.73,16523,2111.9,66.429
-522.3,5683.8,258.02,23.71
-500.02,6811.3,423.95,31.122
-464.17,19435,1028.3,24.558
-530.65,19896,862.93,23.016
-438.06,8842.5,330.41,16.369
-401.18,17293,1060.9,24.61
-546.99,7073.3,415.08,32.099
-488.7,6357.9,257.33,19.78
-539.57,6132.4,292.57,25.742
-437.01,14036,899.75,28.014
-412.52,18254,481.62,10.884
-475.62,15666,391.26,11.879
-539.2,8570.9,298.5,18.779
-420.56,23162,1256.6,22.817
-439.17,21100,3695.6,76.919
-490.79,18601,2145.5,56.61
-524.23,8309,488.25,30.805
-550.02,8775.4,399.35,25.031
-421.95,17787,423.44,10.045
-524.92,16123,711.25,23.157
-477.47,7176.8,252.73,16.814
-534.02,13194,416.14,16.843
-440.71,28623,608.07,9.3625
-505.58,7644,436,28.837
-434.43,6667.6,329.79,21.487
-403.74,10001,364.55,14.717
-497.39,9853.8,828.71,41.831
-436.84,21996,2212,43.931
-527.67,8435.6,622.54,38.942
-507.31,7546.2,385.66,25.927
-554.99,12885,1001.3,43.129
-478.59,11642,326.75,13.433
-597.89,19973,2208.3,66.105
-503.04,9654.6,840.9,43.815
-495.76,9491.9,306.93,16.031
-549.89,11027,1069.5,53.333
-514.54,6431.8,380.24,30.418
-472.49,11191,455.84,19.247
-497.85,6186.5,269.23,21.666
-437.83,9587.7,832.97,38.038
-478.72,42661,2219,24.901
-405.99,6131.8,334.08,22.12
-492.51,11734,319.05,13.391
-454.89,5635.1,274,22.118
-505.34,6231.6,267.27,21.674
-405.85,32371,3952.3,49.553
-511.02,21745,916.95,21.548
-458.6,7741.8,393.12,23.287
-515.5,5518,262.72,24.544
-546.55,5593.7,262.42,25.641
-488.07,8156.9,431.91,25.843
-532.63,5298.4,271.79,27.322
-447.78,7867.7,379.08,21.575
-599.72,15796,594.52,22.572
-448.58,10320,488.58,21.236
-588.17,10390,400.58,22.677
-443.44,6621.3,437.01,29.268
-499.51,8070.3,268.85,16.641
-564.24,5192.5,270.92,29.438
-543.32,10394,588.05,30.74
-541.12,10997,259.04,12.746
-488.09,30997,1161.4,18.288
-550.84,19123,1470.5,42.357
-583.99,28946,1401.9,28.284
-488.27,8483.4,471.36,27.13
-505.59,28291,3548.7,63.419
-413.21,5134,263,21.167
-478.15,5640.6,299.13,25.357
-493.45,45035,3890,42.622
-579.03,16437,1150,40.512
-422.11,11826,684.07,24.417
-546.23,15670,1433.1,49.954
-509.09,6189.8,305.24,25.106
-521.31,11352,662.25,30.412
-405.96,7673,265.08,14.025
-429.35,11770,414.65,15.125
-456.8,5537.1,282.52,23.307
-400.97,20297,293.26,5.7934
-533.83,5727.8,274.69,25.601
-574.05,14962,513.47,19.701
-509.39,7897.6,439.34,28.338
-508.63,8918.1,309.15,17.632
-523.15,8913.8,777.77,45.647
-460.44,17050,484.74,13.091
-473.35,13294,403.78,14.377
-514.99,20763,3860.6,95.755
-561.84,8190.9,407.29,27.938
-440.32,12538,541.13,19.003
-465.5,24557,306,5.8007
-548.58,16383,715.34,23.953
-468.18,12154,278.32,10.721
-409.52,13092,417.39,13.056
-431.27,11098,1112.1,43.214
-438.77,5950.4,313.07,23.086
-499.02,7423.2,395.93,26.616
-527.02,22288,2470,58.408
-576.04,8140.1,556.56,39.386
-580.51,8287.9,359.65,25.191
-461.43,8266.1,270.95,15.125
-550.68,39888,4962.1,68.505
