N, RMSE, Max
10,0.042471,0.108
11,0.037926,0.14616
12,0.015925,0.084506
13,0.010101,0.052231
14,0.018757,0.062515
15,0.0028552,0.0084992
16,0.0040206,0.017386
17,0.0032612,0.01427
18,0.0030476,0.01389
19,0.0010387,0.0038666
20,0.0031708,0.021101
21,0.00071285,0.0020129
22,0.00057685,0.0028057
23,0.00049277,0.0023502
24,0.00042785,0.001708
25,0.00058778,0.0031157
26,0.00058953,0.0032445
27,0.00022535,0.00099327
28,0.00016105,0.0006464
29,9.7502e-05,0.00042753
30,8.5067e-05,0.0003686
31,8.0687e-05,0.00032727
32,6.0905e-05,0.00025735
34,2.2145e-05,0.00012135
36,2.2422e-05,0.00014989
38,2.0219e-05,0.00013183
40,1.4822e-05,0.00010367
42,1.1532e-05,9.4666e-05
44,5.3429e-06,4.2504e-05
46,4.9096e-06,4.0951e-05
48,3.2486e-06,2.8576e-05
50,2.3712e-06,2.0541e-05
