N, RMSE, Max
10,0.1074,0.33212
11,0.10637,0.39422
12,0.10598,0.42994
13,0.10181,0.42292
14,0.096556,0.37727
15,0.077022,0.36486
16,0.095546,0.40135
17,0.09756,0.33178
18,0.053924,0.27421
19,0.064394,0.25637
20,0.036301,0.17955
21,0.028407,0.14889
22,0.027489,0.1358
23,0.023912,0.11007
24,0.021095,0.094742
25,0.019641,0.091269
26,0.016369,0.078739
27,0.015402,0.068747
28,0.012675,0.055223
29,0.011698,0.052629
30,0.0098897,0.045764
31,0.0088222,0.039695
32,0.0076791,0.034119
34,0.0060122,0.026151
36,0.0047215,0.020342
38,0.0036794,0.01528
40,0.0027972,0.011234
42,0.0020527,0.0082054
44,0.0014849,0.0061165
46,0.0010864,0.004324
48,0.00082469,0.0031338
50,0.00062457,0.0023137
