x,y_ref_real,y_ref_imag,y_ref_abs
2000,-2.8247,0.26695,2.8372
2010,-2.7613,0.93936,2.9167
2020,-2.5064,1.575,2.9601
2030,-2.0889,2.1088,2.9682
2040,-1.5624,2.4964,2.945
2050,-0.99176,2.7238,2.8988
2060,-0.43616,2.8093,2.843
2070,0.067791,2.7954,2.7962
2080,0.51626,2.7323,2.7806
2090,0.9373,2.6567,2.8172
2100,1.377,2.574,2.9192
2110,1.8767,2.4518,3.0876
2120,2.4492,2.2281,3.3111
2130,3.0644,1.8327,3.5706
2140,3.6486,1.2137,3.8451
2150,4.0994,0.35923,4.1151
2160,4.3092,-0.69036,4.3641
2170,4.1906,-1.8446,4.5786
2180,3.6992,-2.9756,4.7474
2190,2.8478,-3.9396,4.8611
2200,1.7109,-4.6038,4.9115
2210,0.41761,-4.874,4.8918
2220,-0.86918,-4.7189,4.7983
2230,-1.986,-4.1845,4.6319
2240,-2.8093,-3.3883,4.4014
2250,-3.2905,-2.4898,4.1263
2260,-3.4689,-1.6425,3.8381
2270,-3.4522,-0.945,3.5792
2280,-3.3703,-0.41362,3.3956
2290,-3.3238,0.0099492,3.3238
2300,-3.3503,0.42334,3.3769
2310,-3.4194,0.91985,3.541
2320,-3.4519,1.5547,3.7858
2330,-3.3484,2.3295,4.079
2340,-3.0182,3.1932,4.3939
2350,-2.4004,4.054,4.7113
2360,-1.4766,4.7959,5.018
2370,-0.27656,5.297,5.3042
2380,1.1217,5.4473,5.5616
2390,2.5968,5.166,5.782
2400,3.9943,4.4181,5.9561
2410,5.1429,3.2294,6.0727
2420,5.8795,1.6967,6.1194
2430,6.0828,-0.01198,6.0828
2440,5.711,-1.6767,5.952
2450,4.8293,-3.0688,5.7219
2460,3.6104,-4.0132,5.3982
2470,2.2909,-4.446,5.0015
2480,1.0953,-4.4346,4.5679
2490,0.16227,-4.143,4.1462
2500,-0.48819,-3.7588,3.7904
2510,-0.93464,-3.4228,3.5481
2520,-1.3012,-3.1914,3.4465
2530,-1.7027,-3.038,3.4826
2540,-2.2067,-2.8797,3.6279
2550,-2.8186,-2.6127,3.8432
2560,-3.4836,-2.1449,4.091
2570,-4.1008,-1.4219,4.3403
2580,-4.5451,-0.44479,4.5669
2590,-4.6955,0.72223,4.7508
2600,-4.4658,1.9565,4.8756
