x,y_ref_real,y_ref_imag,y_ref_abs
4,-0.13561,0.060638,0.14855
4.01,-0.072794,0.082325,0.10989
4.02,-0.0093062,0.074625,0.075203
4.03,0.042058,0.041332,0.058968
4.04,0.072101,-0.0084409,0.072593
4.05,0.07709,-0.063056,0.099593
4.06,0.05911,-0.1113,0.12602
4.07,0.024471,-0.14478,0.14684
4.08,-0.018182,-0.1591,0.16013
4.09,-0.059925,-0.15403,0.16527
4.1,-0.093119,-0.1329,0.16227
4.11,-0.11247,-0.10147,0.15148
4.12,-0.11579,-0.066925,0.13374
4.13,-0.10404,-0.036402,0.11022
4.14,-0.081055,-0.015702,0.082562
4.15,-0.052699,-0.0082919,0.053348
4.16,-0.025603,-0.014497,0.029423
4.17,-0.0055478,-0.031749,0.03223
4.18,0.0036287,-0.055233,0.055352
4.19,0.00084873,-0.079179,0.079184
4.2,-0.01227,-0.098227,0.09899
4.21,-0.032072,-0.10853,0.11317
4.22,-0.053724,-0.10839,0.12097
4.23,-0.072402,-0.098404,0.12217
4.24,-0.084119,-0.08117,0.1169
4.25,-0.086566,-0.060627,0.10569
4.26,-0.079338,-0.041268,0.089429
4.27,-0.064092,-0.027252,0.069645
4.28,-0.044051,-0.021523,0.049028
4.29,-0.0234,-0.02526,0.034432
4.3,-0.0063781,-0.037694,0.03823
4.31,0.0036934,-0.056289,0.05641
4.32,0.0049511,-0.077412,0.07757
4.33,-0.0027068,-0.097077,0.097115
4.34,-0.017739,-0.11175,0.11315
4.35,-0.037325,-0.11895,0.12467
4.36,-0.058027,-0.1176,0.13113
4.37,-0.076285,-0.10805,0.13227
4.38,-0.089106,-0.091994,0.12807
4.39,-0.09436,-0.072198,0.11881
4.4,-0.091178,-0.051936,0.10493
4.41,-0.080058,-0.03462,0.087222
4.42,-0.062808,-0.023227,0.066965
4.43,-0.042277,-0.019726,0.046653
4.44,-0.021918,-0.024849,0.033134
4.45,-0.0051716,-0.037834,0.038186
4.46,0.0050701,-0.056593,0.056819
4.47,0.0069963,-0.078071,0.078384
4.48,0.00019651,-0.098753,0.098753
4.49,-0.014331,-0.11525,0.11613
4.5,-0.034376,-0.12486,0.1295
4.51,-0.05689,-0.12594,0.13819
4.52,-0.078406,-0.1181,0.14176
4.53,-0.095597,-0.10227,0.13999
4.54,-0.10564,-0.080596,0.13287
4.55,-0.10666,-0.056113,0.12052
4.56,-0.098101,-0.032386,0.10331
4.57,-0.080687,-0.013132,0.081749
4.58,-0.056607,-0.0014572,0.056626
4.59,-0.029129,0.00037504,0.029132
4.6,-0.0022049,-0.0083629,0.0086487
4.61,0.020131,-0.026856,0.033564
4.62,0.034477,-0.052803,0.063062
4.63,0.038516,-0.082724,0.091252
4.64,0.031449,-0.11256,0.11687
4.65,0.014029,-0.13829,0.139
4.66,-0.011623,-0.15648,0.15691
4.67,-0.042325,-0.16468,0.17003
4.68,-0.074325,-0.16174,0.178
4.69,-0.10372,-0.1478,0.18057
4.7,-0.12686,-0.12433,0.17763
4.71,-0.14076,-0.093925,0.16922
4.72,-0.14342,-0.060018,0.15547
4.73,-0.13407,-0.026713,0.13671
4.74,-0.1134,0.0018164,0.11342
4.75,-0.083556,0.021743,0.086339
4.76,-0.048005,0.030088,0.056655
4.77,-0.01121,0.025279,0.027653
4.78,0.02196,0.0075328,0.023216
4.79,0.046934,-0.021133,0.051472
4.8,0.060177,-0.057139,0.082983
4.81,0.059732,-0.09576,0.11286
4.82,0.045496,-0.13184,0.13947
4.83,0.019232,-0.1606,0.16174
4.84,-0.015675,-0.17817,0.17886
4.85,-0.054751,-0.18216,0.19021
4.86,-0.092937,-0.17183,0.19536
4.87,-0.12518,-0.14826,0.19403
4.88,-0.14697,-0.11422,0.18613
4.89,-0.15495,-0.073939,0.17169
4.9,-0.14745,-0.032848,0.15107
4.91,-0.12476,0.0031729,0.1248
4.92,-0.089547,0.028519,0.093979
4.93,-0.046575,0.038814,0.060628
4.94,-0.0022546,0.031807,0.031887
4.95,0.036463,0.0080703,0.037345
4.96,0.063317,-0.029014,0.069648
4.97,0.073935,-0.073753,0.10443
4.98,0.066659,-0.11915,0.13653
4.99,0.042713,-0.15828,0.16394
5,0.0059209,-0.18533,0.18543
5.01,-0.038132,-0.1965,0.20017
5.02,-0.082936,-0.19035,0.20763
5.03,-0.12203,-0.1679,0.20757
5.04,-0.14977,-0.13248,0.19995
5.05,-0.16205,-0.089253,0.185
5.06,-0.15694,-0.044574,0.16315
5.07,-0.13506,-0.0053282,0.13517
5.08,-0.099759,0.022322,0.10223
5.09,-0.05669,0.03388,0.066043
5.1,-0.012933,0.027602,0.030482
5.11,0.024191,0.0048407,0.024671
5.12,0.048736,-0.030098,0.057281
5.13,0.057143,-0.070883,0.091048
5.14,0.048907,-0.11044,0.12078
5.15,0.026396,-0.14239,0.14481
5.16,-0.00577,-0.16206,0.16216
5.17,-0.041787,-0.16711,0.17226
5.18,-0.075591,-0.15773,0.17491
5.19,-0.10184,-0.13634,0.17017
5.2,-0.11669,-0.1071,0.15839
5.21,-0.11825,-0.075374,0.14023
5.22,-0.10693,-0.046671,0.11667
5.23,-0.08535,-0.025848,0.089178
5.24,-0.057789,-0.016201,0.060017
5.25,-0.029509,-0.018876,0.03503
5.26,-0.0055973,-0.032753,0.033228
5.27,0.0099002,-0.054724,0.055613
5.28,0.014791,-0.080404,0.081753
5.29,0.0088336,-0.10513,0.10551
5.3,-0.0062918,-0.12476,0.12492
5.31,-0.027536,-0.13631,0.13907
5.32,-0.051158,-0.13833,0.14749
5.33,-0.073262,-0.13087,0.14998
5.34,-0.090394,-0.11543,0.14661
5.35,-0.09998,-0.094613,0.13765
5.36,-0.10061,-0.071744,0.12357
5.37,-0.092209,-0.050389,0.10508
5.38,-0.076069,-0.033901,0.083281
5.39,-0.054617,-0.024873,0.060015
5.4,-0.031137,-0.024809,0.039812
5.41,-0.0092351,-0.033809,0.035048
5.42,0.0077395,-0.050593,0.051182
5.43,0.017185,-0.072688,0.074692
5.44,0.017669,-0.096846,0.098444
5.45,0.0090962,-0.11954,0.11988
5.46,-0.0073386,-0.1375,0.13769
5.47,-0.029343,-0.14816,0.15103
5.48,-0.053835,-0.14996,0.15933
5.49,-0.0774,-0.14254,0.1622
5.5,-0.096695,-0.12677,0.15944
5.51,-0.10888,-0.10472,0.15106
5.52,-0.11196,-0.079378,0.13724
5.53,-0.10513,-0.054377,0.11836
5.54,-0.089048,-0.033491,0.095138
5.55,-0.065817,-0.020135,0.068828
5.56,-0.038781,-0.016675,0.042214
5.57,-0.012123,-0.024041,0.026925
5.58,0.0098899,-0.04138,0.042545
5.59,0.023599,-0.066129,0.070214
5.6,0.026686,-0.094452,0.09815
5.61,0.018569,-0.1219,0.12331
5.62,0.00043598,-0.14421,0.14421
5.63,-0.024918,-0.15788,0.15983
5.64,-0.053647,-0.16081,0.16952
5.65,-0.081428,-0.15248,0.17286
5.66,-0.10402,-0.13406,0.16968
5.67,-0.11791,-0.10818,0.16002
5.68,-0.12079,-0.078718,0.14418
5.69,-0.11199,-0.050169,0.12271
5.7,-0.092623,-0.027083,0.096502
5.71,-0.065605,-0.013244,0.066929
5.72,-0.035194,-0.011032,0.036883
5.73,-0.0063324,-0.020887,0.021826
5.74,0.016322,-0.041123,0.044244
5.75,0.029198,-0.068321,0.074299
5.76,0.030505,-0.097974,0.10261
5.77,0.020458,-0.12532,0.12698
5.78,0.001092,-0.14624,0.14625
5.79,-0.024203,-0.15785,0.15969
5.8,-0.051298,-0.1588,0.16688
5.81,-0.075995,-0.14951,0.16772
5.82,-0.094665,-0.13187,0.16233
5.83,-0.1047,-0.10897,0.15112
5.84,-0.10495,-0.084639,0.13482
5.85,-0.095788,-0.062795,0.11454
5.86,-0.079132,-0.046859,0.091966
5.87,-0.05811,-0.039149,0.070067
5.88,-0.03641,-0.040515,0.054472
5.89,-0.017713,-0.050201,0.053234
5.9,-0.0049225,-0.066069,0.066252
5.91,0.000215,-0.085062,0.085063
5.92,-0.0026079,-0.10386,0.1039
5.93,-0.012397,-0.1194,0.12004
5.94,-0.027077,-0.12936,0.13216
5.95,-0.044004,-0.1325,0.13961
5.96,-0.060322,-0.12867,0.14211
5.97,-0.073446,-0.1188,0.13967
5.98,-0.081341,-0.1047,0.13258
5.99,-0.082845,-0.088743,0.1214
6,-0.077781,-0.073564,0.10706
