x,y_ref_real,y_ref_imag,y_ref_abs
4500,-1.3346e-09,-8.0732e-09,8.1828e-09
4502.5,-1.8358e-09,-8.5861e-09,8.7802e-09
4505,-2.4604e-09,-9.041e-09,9.3698e-09
4507.5,-3.1955e-09,-9.4115e-09,9.9392e-09
4510,-4.0228e-09,-9.6736e-09,1.0477e-08
4512.5,-4.9173e-09,-9.8068e-09,1.0971e-08
4515,-5.8461e-09,-9.7975e-09,1.1409e-08
4517.5,-6.7704e-09,-9.6445e-09,1.1784e-08
4520,-7.6531e-09,-9.3634e-09,1.2093e-08
4522.5,-8.4679e-09,-8.9849e-09,1.2346e-08
4525,-9.2066e-09,-8.5469e-09,1.2562e-08
4527.5,-9.8806e-09,-8.0842e-09,1.2766e-08
4530,-1.0516e-08,-7.6194e-09,1.2986e-08
4532.5,-1.1147e-08,-7.1577e-09,1.3247e-08
4535,-1.1804e-08,-6.6856e-09,1.3565e-08
4537.5,-1.2508e-08,-6.1739e-09,1.3949e-08
4540,-1.3263e-08,-5.5849e-09,1.4391e-08
4542.5,-1.4055e-08,-4.8816e-09,1.4879e-08
4545,-1.4853e-08,-4.0376e-09,1.5392e-08
4547.5,-1.5617e-08,-3.0432e-09,1.5911e-08
4550,-1.6314e-08,-1.905e-09,1.6425e-08
4552.5,-1.6919e-08,-6.3966e-10,1.6932e-08
4555,-1.742e-08,7.3473e-10,1.7436e-08
4557.5,-1.7814e-08,2.2051e-09,1.795e-08
4560,-1.8101e-08,3.767e-09,1.8488e-08
4562.5,-1.8279e-08,5.4247e-09,1.9067e-08
4565,-1.834e-08,7.1896e-09,1.9699e-08
4567.5,-1.8267e-08,9.0763e-09,2.0398e-08
4570,-1.8032e-08,1.11e-08,2.1174e-08
4572.5,-1.7592e-08,1.327e-08,2.2036e-08
4575,-1.6895e-08,1.559e-08,2.2989e-08
4577.5,-1.5878e-08,1.8048e-08,2.4039e-08
4580,-1.4468e-08,2.062e-08,2.5189e-08
4582.5,-1.2587e-08,2.3259e-08,2.6447e-08
4585,-1.0149e-08,2.5899e-08,2.7817e-08
4587.5,-7.0618e-09,2.844e-08,2.9304e-08
4590,-3.2322e-09,3.0737e-08,3.0906e-08
4592.5,1.4172e-09,3.2575e-08,3.2605e-08
4595,6.9086e-09,3.3659e-08,3.4361e-08
4597.5,1.315e-08,3.362e-08,3.61e-08
4600,1.9871e-08,3.2061e-08,3.7719e-08
4602.5,2.6583e-08,2.8663e-08,3.9093e-08
4605,3.261e-08,2.3313e-08,4.0086e-08
4607.5,3.7201e-08,1.622e-08,4.0584e-08
4610,3.9719e-08,7.9396e-09,4.0505e-08
4612.5,3.9817e-08,-7.0769e-10,3.9823e-08
4615,3.7546e-08,-8.8224e-09,3.8569e-08
4617.5,3.3339e-08,-1.5638e-08,3.6824e-08
4620,2.7878e-08,-2.0685e-08,3.4714e-08
4622.5,2.1904e-08,-2.3844e-08,3.2378e-08
4625,1.6051e-08,-2.5292e-08,2.9956e-08
4627.5,1.0749e-08,-2.5382e-08,2.7564e-08
4630,6.2133e-09,-2.4512e-08,2.5287e-08
4632.5,2.495e-09,-2.304e-08,2.3175e-08
4635,-4.5623e-10,-2.1244e-08,2.1248e-08
4637.5,-2.7372e-09,-1.9317e-08,1.951e-08
4640,-4.4564e-09,-1.7389e-08,1.7951e-08
4642.5,-5.7176e-09,-1.5539e-08,1.6557e-08
4645,-6.6131e-09,-1.3814e-08,1.5315e-08
4647.5,-7.2231e-09,-1.2239e-08,1.4211e-08
4650,-7.6155e-09,-1.0821e-08,1.3232e-08
4652.5,-7.8461e-09,-9.5584e-09,1.2366e-08
4655,-7.9596e-09,-8.4407e-09,1.1602e-08
