x,y_ref_abs,AAA,Error_AAA,VF,Error_VF,Szego,Error_Szego,Adap,Error_Adap
10000,118.74,118.74,0,119.16,0.75331,118.74,0,118.74,0
10030,119.35,119.28,0.075957,119.55,0.50548,119.62,0.28337,119.36,0.029944
10060,119.93,119.8,0.13077,119.95,0.27812,120.34,0.47841,119.93,0.048964
10090,120.47,120.31,0.16482,120.38,0.12172,120.92,0.59192,120.46,0.058559
10120,120.98,120.81,0.17926,120.81,0.20888,121.37,0.63286,120.95,0.060385
10150,121.43,121.28,0.176,121.26,0.36817,121.72,0.61204,121.4,0.056187
10180,121.85,121.73,0.15773,121.71,0.51104,122.01,0.54167,121.81,0.04772
10210,122.23,122.15,0.12782,122.16,0.62688,122.28,0.43483,122.19,0.036664
10240,122.57,122.53,0.090132,122.6,0.71293,122.55,0.30488,122.55,0.024538
10270,122.9,122.89,0.048807,123.03,0.76877,122.86,0.16488,122.89,0.012633
10300,123.22,123.22,0.0079394,123.46,0.7955,123.2,0.026917,123.21,0.0019583
10330,123.53,123.52,0.028775,123.86,0.79541,123.59,0.098413,123.53,0.0067833
10360,123.84,123.82,0.058378,124.25,0.7716,124,0.20247,123.85,0.013196
10390,124.16,124.12,0.07891,124.61,0.72775,124.41,0.27897,124.18,0.017163
10420,124.5,124.43,0.089542,124.97,0.6677,124.81,0.32415,124.51,0.018805
10450,124.84,124.77,0.090536,125.3,0.5951,125.18,0.3369,124.85,0.018415
10480,125.2,125.12,0.08306,125.63,0.51322,125.52,0.31866,125.2,0.016405
10510,125.57,125.5,0.06892,125.95,0.42471,125.83,0.27316,125.57,0.013243
10540,125.95,125.9,0.050269,126.26,0.33168,126.12,0.20607,125.95,0.0094073
10570,126.34,126.31,0.029337,126.56,0.23575,126.42,0.12444,126.33,0.0053481
10600,126.72,126.71,0.0082301,126.86,0.13826,126.74,0.036115,126.72,0.0014607
10630,127.09,127.1,0.011216,127.14,0.040674,127.08,0.05089,127.1,0.0019356
10660,127.45,127.47,0.027533,127.4,0.056724,127.44,0.12907,127.46,0.0046114
10690,127.78,127.8,0.039675,127.63,0.15069,127.8,0.19198,127.79,0.0064346
10720,128.06,128.08,0.047039,127.83,0.24028,128.15,0.23476,128.07,0.0073688
10750,128.29,128.3,0.049468,127.98,0.32336,128.43,0.25444,128.3,0.0074651
10780,128.45,128.45,0.047216,128.09,0.39782,128.63,0.25014,128.46,0.0068455
10810,128.53,128.52,0.0409,128.13,0.46165,128.72,0.22309,128.53,0.0056822
10840,128.52,128.5,0.031425,128.11,0.51313,128.69,0.17645,128.52,0.0041743
10870,128.41,128.4,0.019891,128.02,0.55098,128.53,0.11499,128.41,0.002523
10900,128.21,128.2,0.0074981,127.85,0.57444,128.25,0.044645,128.21,0.00090842
10930,127.91,127.92,0.0045679,127.61,0.5834,127.89,0.028029,127.91,0.0005303
10960,127.54,127.55,0.015237,127.29,0.57835,127.46,0.096428,127.54,0.0017077
10990,127.09,127.12,0.023649,126.92,0.5603,127,0.15447,127.09,0.0025916
11020,126.6,126.63,0.029216,126.49,0.53073,126.52,0.19711,126.6,0.0031884
11050,126.08,126.11,0.031663,126.03,0.49131,126.04,0.22077,126.08,0.0035179
11080,125.55,125.57,0.031025,125.55,0.44383,125.56,0.22361,125.55,0.0035889
11110,125.04,125.06,0.027612,125.09,0.39001,125.1,0.20568,125.04,0.0033899
11140,124.57,124.58,0.021952,124.65,0.3314,124.67,0.1689,124.58,0.0028995
11170,124.18,124.18,0.01472,124.27,0.26934,124.26,0.11686,124.18,0.0021081
11200,123.87,123.87,0.0066648,123.96,0.20496,123.92,0.054511,123.87,0.0010377
11230,123.67,123.67,0.0014668,123.74,0.13924,123.66,0.012334,123.67,0.00024807
11260,123.59,123.59,0.0089842,123.64,0.073115,123.51,0.07748,123.59,0.0016454
11290,123.64,123.65,0.015302,123.65,0.010571,123.51,0.13494,123.64,0.0030207
11320,123.83,123.84,0.019969,123.79,0.059304,123.68,0.17945,123.83,0.0042258
11350,124.15,124.17,0.022689,124.06,0.12247,124.01,0.20699,124.15,0.0051157
11380,124.6,124.62,0.023321,124.45,0.18329,124.5,0.21507,124.6,0.0055654
11410,125.17,125.19,0.021876,124.95,0.24075,125.12,0.20303,125.16,0.0054862
11440,125.83,125.85,0.018504,125.56,0.29389,125.84,0.17202,125.83,0.0048396
