x,,y_real_alpha0.05,y_imag_alpha0.05,y_real_alpha0.1,y_imag_alpha0.1,y_real_alpha0.15,y_imag_alpha0.15,y_real_alpha0.2,y_imag_alpha0.2,y_real_alpha0.25,y_imag_alpha0.25
0,0,20.198,0,10.385,0,7.2171,0,5.6897,0,4.8,0
0.005,0,20,-1.9608,10.36,-0.481,7.2099,-0.20666,5.6867,-0.11244,4.7985,-0.070368
0.01,0,19.429,-3.8073,10.286,-0.95459,7.1882,-0.41184,5.6778,-0.22441,4.7942,-0.14055
0.015,0,18.547,-5.4463,10.166,-1.4137,7.1523,-0.61409,5.663,-0.33545,4.7869,-0.21035
0.02,0,17.44,-6.8188,10.002,-1.852,7.1028,-0.81205,5.6425,-0.4451,4.7768,-0.27959
0.025,0,16.199,-7.9027,9.799,-2.264,7.0403,-1.0044,5.6164,-0.55295,4.7639,-0.34808
0.03,0,14.906,-8.7067,9.5627,-2.6455,6.9656,-1.19,5.5849,-0.65857,4.7483,-0.41566
0.035,0,13.624,-9.2595,9.2985,-2.9933,6.8795,-1.3678,5.5482,-0.76158,4.73,-0.48216
0.04,0,12.397,-9.5999,9.0121,-3.3056,6.7832,-1.5369,5.5067,-0.86162,4.7092,-0.54741
0.045,0,11.253,-9.7687,8.7092,-3.5815,6.6777,-1.6965,5.4606,-0.95838,4.6859,-0.61127
0.05,0,10.204,-9.8041,8.3953,-3.8212,6.5641,-1.8462,5.4102,-1.0516,4.6603,-0.6736
0.055,0,9.255,-9.7388,8.0751,-4.0256,6.4436,-1.9854,5.3559,-1.1409,4.6325,-0.73427
0.06,0,8.4033,-9.6,7.753,-4.1965,6.3173,-2.1139,5.298,-1.2262,4.6026,-0.79316
0.065,0,7.643,-9.4091,7.4327,-4.3358,6.1864,-2.2316,5.237,-1.3073,4.5708,-0.85017
0.07,0,6.9665,-9.1827,7.1172,-4.4459,6.052,-2.3385,5.173,-1.3841,4.5371,-0.90521
0.075,0,6.3654,-8.9334,6.8091,-4.5293,5.915,-2.4347,5.1066,-1.4564,4.5018,-0.9582
0.08,0,5.8315,-8.6706,6.5101,-4.5886,5.7764,-2.5204,5.0381,-1.5242,4.465,-1.0091
0.085,0,5.357,-8.4013,6.2219,-4.6264,5.6371,-2.5959,4.9679,-1.5874,4.4269,-1.0578
0.09,0,4.9348,-8.1303,5.9452,-4.6451,5.4978,-2.6616,4.8962,-1.6461,4.3876,-1.1043
0.095,0,4.5586,-7.8614,5.6809,-4.6471,5.3594,-2.718,4.8235,-1.7003,4.3472,-1.1485
0.1,0,4.2228,-7.5968,5.4293,-4.6343,5.2224,-2.7653,4.75,-1.75,4.3059,-1.1905
0.105,0,3.9224,-7.3384,5.1904,-4.6089,5.0874,-2.8043,4.6761,-1.7953,4.2639,-1.2302
0.11,0,3.6531,-7.0871,4.9642,-4.5726,4.9549,-2.8353,4.602,-1.8363,4.2213,-1.2677
0.115,0,3.4112,-6.8437,4.7505,-4.527,4.8252,-2.8588,4.528,-1.8732,4.1782,-1.3029
