Name;Cluster_ID;RA;DEC;Z;Z_ERR;BCG_NAME;BCG_RA;BCG_DEC;BCG_Z_Spec;BCG_W1;BCG_W2;Island;Radio_RA;Radio_DEC;Flux_DS9(Jy);DS9_axis;L_X;L_X_10_43;L_X_Err_10_43;L_X_Err_H;M_X;M_X_10_14_sol_Mass;R_500;Central_Density;Centrsl_Density_Err_H;Clear_Case;Remarks;Upper Limit;Point Source;SUMSS(mJy);SUMSS_Err(mJy)
em01_302141_020_ML00013_002_c947;J201601.3-495436;304.0056211495037;-49.910272916060194;0.2860868573188782;0.006332692690193653;"J201601.62-495445.5
";304.0067;-49.9126;0;13.827;13.602;SB9287_island_2312;304.006964;-49.912633;0.0286518;29.1;1.0866208347893553E44;10.697;2.718;1.3568983989065863E44;4.6258794269806406E14;4.607;1065;0.06655848310214316;0.46411659481127143;1;0;0;0;32.2;1.2
em01_303144_020_ML00016_002_c947;J202154.3-525715;305.4765169012027;-52.95434298635179;0.15466845035552979;0.004745987709611654;J202147.81-525705.2;305.4494;-52.9514;0;14.210;13.906;SB9287_island_891;305.451303;-52.955379;0.142582;35.99;5.06749994199591E43;5.067;1.083;6.150045404464574E43;2.911737397853777E14;2.912;958;0.01176500102721013;0.09369133088466124;0;Jellyfish, Discuss;0;0;143.7;"6.1
"
em01_303144_020_ML00069_002_c947;J201832.9-524656;304.63717247851633;-52.78227787173087;0.14002572374568412;0.02559704789510452;J201842.26-524446.8;304.6760977275516;-52.746360768673554;0;12.030;12.069;SB9287_island_3495;304.676727;-52.746463;0.0245208;38.477;6.630840163685912E42;0.663;0.495;1.1579428667124774E43;7.208906047120108E13;0.721;605;0.0040259275112210745;0.05711207125570038;1;Cluster with the relics;0;0;0;0
em01_304147_020_ML00009_002_c947;J202321.7-553524;305.84046654731117;-55.59024255112743;0.2285853922367096;0.0031342809088528156;"[GSB2009] J202320.83-553549.9 
";305.8371;-55.5973;0.23812;13.775;13.548;SB9287_island_7490;305.8347374;-55.5987476;0.0133251;100;2.4122561500818427E44;24.123;2.575;2.669787531482423E44;8.292486478943454E14;8.292;1323;0.00488771128574555;0.04437530554251117;0;Halo, Discuss;0;0;16.3;1.4
em01_306150_020_ML00011_002_c947;J203328.8-593552;308.3704087076126;-59.598018155282205;0.2124190628528595;0.005144432652741671;J203331.05-593549.4;308.3796;-59.5970;0;13.558;13.306;SB9287_island_355;308.3753117;-59.5978973;0.353543;38.31;8.20811530201379E43;8.208;1.594;9.801969990200604E43;3.963239104925173E14;3.963;1041;0.005220876346781183;0.041696077035884516;1;0;0;0;361.4;14.4
em01_307141_020_ML00006_002_c947;J202555.3-511709;306.4806169853629;-51.286077507640854;0.2325017899274826;0.003116471227258444;"2MASX J20255579-5116276 
";306.4822859;-51.2740404;0;14.052;13.865;SB9287_island_3188;306.4724360;-51.2853318;0.0251879;59.330;1.81255496059941E44;18.126;1.854;1.9979654012637098E44;6.794934106321179E14;6.795;1237;0.005491785028796769;0.052883693970549914;1;Elongated;0;0;24.7;1.2
em01_310147_020_ML00012_002_c947;J203220.5-562738;308.08572424316;-56.460574826338046;0.2841513524221083;7.972969878348444E-4;[GSB2009] J203223.81-562759.4;308.0995;-56.4666;0.2847;14.293;13.938;0;0;0;0.00075;0;2.5996495093987627E44;25.996;4.501;3.0497992747432062E44;8.541992961609065E14;8.542;1310;0.005496930644131967;0.09369429664994537;1;No corresponding Radio source to BCG;1;0;0;0
em01_310147_020_ML00023_002_c947;J203043.7-563749;307.68235468859183;-56.63041631792662;0.39379944302265324;4.5232352267500037E-4;[BRS2016] J203045.25-563755.8;307.6884;-56.6322;0.393205;14.652;14.377;SB9287_island_2540;307.703184;-56.617643;0.0271481;26.974;1.5492584704589381E44;15.493;3.954;1.9446374377003807E44;5.653488696173424E14;5.653;1095;0.0020308689855245603;0.03505954006238749;0;Radio Source a bit apart from BCG, Discuss;0;0;30.3;1.3
em01_310147_020_ML00130_002_c947;J203826.6-561509;309.6110013078785;-56.25266009838799;0.37049606442451477;0.007893066853284836;J203825.76-561522.3;309.6073;-56.2562;0;14.455;14.262;SB9287_island_2717;309.6085810;-56.2553881;0.0288701;36.425;2.1837830558429421E43;2.184;2.092;4.2762319995151E43;1.4661777711188006E14;1.466;704;0.006302902913539732;0.11090522818217204;1;Weak relics?;0;0;24.3;1.2
em01_311150_020_ML00013_002_c947;J205146.0-604621;312.9420293728942;-60.77266916338606;0.33983540534973145;0.00847057718783617;J205145.73-604623.1;312.9408;-60.7730;0;14.894;14.451;SB9287_island_12993;312.9408000;-60.77300;0.00304276;18.57;1.911022267014016E44;19.110;3.701;2.281159969953353E44;6.71706107669171E14;6.717;1184;0.037092542608044475;0.3651666187293818;1;0;0;0;0;0
