over,MeanAbsError,MeanAbsErrorLewis35,MeanAbsErrorLewisMean,MeanAbsErrorLewisMed,MedianAbsError,StdAbsError,MeanPercentAbsError,RMSE,Mean_absError_randForest,Mean_absError_ridgRegr,Mean_absError_knn
1,40.83679834,44.48856549,41.07900208,41.0977131,36,28.87497498,16,50.00541551,41.63198004,39.29164854,54.05735294
2,40.14137214,44.32848233,40.34095634,40.32848233,35,28.237855,15,49.07012675,41.42727941,39.15199183,53.25451681
3,39.54469854,43.98752599,39.71621622,39.6975052,35,28.12767417,15,48.51934479,39.84978992,37.68730371,51.90703782
4,39.14656965,43.78170478,39.40644491,39.34199584,34.5,27.93850713,15,48.0853689,41.3592437,36.82371702,51.36018908
5,38.55197505,42.95945946,38.76403326,38.71621622,33,27.48402054,15,47.33752165,41.02137605,36.4156336,50.78340336
6,37.94178794,42.18814969,38.12370062,38.09043659,33,27.2973136,14,46.7327297,43.11706933,36.07930251,50.62678571
7,37.22661123,41.3960499,37.40852391,37.36278586,33,26.63153988,14,45.76376564,38.87752101,35.40859947,50.18329832
8,36.90748441,40.48128898,36.9043659,36.89085239,33,26.14146988,14,45.21977977,38.37951681,35.07194299,50.75115546
9,36.40748441,39.98752599,36.48648649,36.47401247,31,25.94860577,14,44.70050486,39.80315126,34.99125175,50.40504202
10,35.81185031,39.32640333,35.87214137,35.85239085,31,25.47425186,14,43.94031815,40.29044118,34.966543,51.24222689
11,34.72037422,38.46985447,34.72245322,34.67775468,30.5,25.40260175,13,43.01308847,38.19831933,34.1696294,51.2894958
12,34.41580042,37.78170478,34.48336798,34.44282744,30,25.17761422,13,42.63450039,37.82279412,33.67291316,51.13529412
13,33.75571726,36.74428274,33.74428274,33.74844075,29,24.89924742,13,41.93776946,39.01565126,32.89691397,51.48539916
14,33.28274428,36.10810811,33.21309771,33.23804574,28.5,24.54749889,13,41.34845084,40.18771008,32.10282975,52.19044118
15,32.59459459,35.43659044,32.75155925,32.76819127,28,24.36434106,12,40.68675021,40.75546218,31.49631609,52.14464286
16,31.92723493,34.68607069,32.08419958,32.10706861,28,23.85088315,12,39.84496984,41.22048319,30.92312689,52.70409664
17,31.64656965,34.21205821,31.75675676,31.76715177,28,23.74578847,12,39.55732176,41.97069328,30.9985324,52.50147059
18,31.16528067,33.66424116,31.13305613,31.14241164,28,23.2800156,12,38.89306465,40.60703782,30.4742215,52.38266807
19,30.69126819,33.21101871,30.67255717,30.69230769,26.5,23.31870549,12,38.53765337,38.35840336,29.69531463,51.84831933
20,30.35654886,32.66528067,30.27754678,30.27858628,26,22.94282591,12,38.04400286,38.40619748,29.79943627,50.24233193
21,29.54942768,32.10613944,29.58896982,29.59833507,25,22.67542498,11,37.23987826,38.58256303,29.05885866,49.48560924
22,28.97916667,31.33541667,28.95625,28.965625,25,21.93015701,11,36.33487191,37.35493697,27.85358443,47.29453782
23,28.62291667,31.11145833,28.83541667,28.84479167,24,21.68004844,11,35.89994777,36.78256303,27.65709771,48.14516807
24,27.87904067,30.53806048,27.99165798,27.97705944,23,21.30526631,11,35.08107696,36.7289916,27.54695437,47.55378151
25,27.25782881,29.94989562,27.35490605,27.34551148,23,20.98412886,10,34.39277914,35.53119748,27.00868418,45.82153361
