t4 e4 t1 e1 t2 e2 t3 e3 
0.0000000000 0.0000000001 0.0000000000 0.0000000001 0.0000000000 0.0000000001 0.0000000000 0.0000000001 
0.3602705417 1.7046650346 0.0468026930 13.8154389767 0.0475721767 11.1348529957 0.0565246850 6.9105941816 
0.3802360304 1.3205683579 0.0973393167 14.3833343380 0.0984677637 11.6473921299 0.1186814413 4.8991617363 
0.3999930359 1.4321510369 0.1473892485 12.8863835546 0.1488022857 10.7376990573 0.1751778581 3.1815457372 
0.6555502116 1.6290036396 0.1971205420 10.3355786707 0.1986428813 8.6058710178 0.2258930021 2.0149893709 
1.0091937003 1.7912497774 0.2470712311 9.0126122462 0.2484525016 6.7479227827 0.2750391681 1.1771396667 
1.1342031994 2.8488826404 0.2977354510 10.3444263001 0.2986758241 6.6599933513 0.3246167912 1.7789532105 
1.1591383761 2.5077528648 0.3486346799 13.2825220573 0.3494354586 9.0415307405 0.3745952428 2.1097205762 
1.1731902493 3.3124325690 0.3987834987 12.2349718720 0.4000849761 11.1447898497 0.4248130175 1.0578083973 
1.2572891481 2.7582145866 0.4483876072 9.2642934853 0.4497817386 8.6796498030 0.4751910892 3.0045725706 
1.2699308396 2.7347012692 0.4987242637 10.3561376966 0.4995658252 6.7442436094 0.5241833366 3.9811473960 
1.2861612434 2.4393813206 0.5497330111 13.4411087928 0.5507768612 8.9713853596 0.5722219162 1.6145592692 
1.2991908889 2.5628876861 0.5993704654 10.4508414816 0.6025535714 9.5288446200 0.6169415698 1.7883277652 
1.3163775624 2.6493252248 0.6494644935 10.1573533766 0.6524022639 6.7365078285 0.6619777744 3.4123162888 
1.3832650756 1.9763304313 0.7006167773 13.5709890330 0.7025579309 8.6961017300 0.7091899214 6.4770898483 
1.3957486281 1.7212927139 0.7500873865 10.3082527627 0.7530400553 10.6175718508 0.7570894076 2.6182922592 
1.4054067321 2.1019099797 0.8006539231 12.0176009573 0.8023655174 7.6062257786 0.8140277483 4.8091161186 
1.4167870341 1.4075383084 0.8512096409 12.4248816295 0.8532945632 10.6991157616 0.8679654743 2.6567981148 
1.4292933261 2.4215704943 0.9007566488 10.9099006650 0.9029176756 8.3286579647 0.9217585873 2.2476240680 
1.4993825040 2.0330942456 0.9519482098 13.7632836833 0.9518377118 7.6797599642 0.9731704833 3.7880206573 
1.5132786510 2.1571049931 1.0011954100 11.0813518688 1.0033028952 9.4136650948 1.0249931558 3.6302833366 
1.5298113806 1.9535082859 1.0524635205 14.2902249134 1.0530673925 8.3209917354 1.0760631952 2.7950237964 
1.5454877663 1.5247158407 1.1018778080 11.5362845925 1.1041158542 10.6685039389 1.1274145896 3.2293065674 
1.6234142225 1.9438361120 1.1530988232 14.6870335577 1.1535768624 8.4090831531 1.1769189345 2.3050145853 
1.6409055025 1.3309897578 1.2024003272 12.1215640825 1.2053993384 9.7020038256 1.2249143507 2.3255238016 
1.6534081309 1.8601328945 1.2534884476 14.8093399505 1.2551045081 8.4775180976 1.2780182292 5.4720593938 
1.6753113392 0.9878348087 1.3030091649 12.7747490300 1.3062712589 10.4394832979 1.3288951048 2.0244624306 
1.8680517164 1.0058605114 1.3538371012 14.7917672349 1.3563987185 9.3794532244 1.3780179926 5.4310102179 
2.2199944918 2.4031846254 1.4037358040 13.4997162635 1.4070656514 10.3418602126 1.4300127134 2.5673665722 
2.2527614265 3.1704586445 1.4541365268 14.6378037274 1.4574379974 10.2884338256 1.4850553618 1.9679323855 
2.3544985661 2.8338207510 1.5044420543 14.3074700577 1.5072366933 10.1660718663 1.5435937506 3.3976425963 
2.3670293163 3.0061948322 1.5545926390 14.5198080982 1.5582826715 11.3818690444 1.5936181393 1.2869551753 
2.3824584953 2.6958686438 1.6052195377 15.1581867377 1.6077010358 10.2634878178 1.6424725966 3.7724477056 
2.4627562715 2.1818645559 1.6549464193 14.5920672967 1.6590863808 12.3798504926 1.6886220213 2.2007964917 
2.4755078874 1.5347242488 1.7059321575 15.9851857821 1.7084643647 10.6048884919 1.7322488959 1.2361783946 
2.4895333887 1.8316631852 1.7552653833 14.8650334282 1.7599059106 12.5638721596 1.7816021474 1.1580043714 
2.5031049212 2.5672324493 1.8066006977 16.6690330517 1.8094013754 10.8625193020 1.8314270404 3.5823839727 
2.5645888626 2.2627613075 1.8558369846 15.2866824038 1.8594932482 12.5334648983 1.8806375660 1.6739533445 
2.5853180819 1.8051691945 1.9069612649 17.0497501491 1.9095080100 11.6230547402 1.9309789596 4.5290777407 
2.5975281695 2.2164565488 1.9564696703 15.8015398646 1.9596730633 12.1694613779 1.9774223246 3.9112470373 
2.6071652715 1.9548987585 2.0073468456 17.0690073179 2.0102581764 12.1972885908 2.0239964728 3.8039367213 
2.6174562762 1.8741564863 2.0573401429 16.3983426648 2.0587754975 11.6777021864 2.0703648035 4.2715159828 
2.6309019380 1.9905606282 2.1076937175 16.9253018431 2.1101566105 12.5313288053 2.1212245594 2.0145996982 
2.6966789733 1.5038242582 2.1580853188 17.0758169364 2.1600050705 11.9116676329 2.1728505312 3.9270832802 
2.7112451794 1.6175752242 2.2078476427 16.9195258684 2.2108875743 13.2430268682 2.2255486742 3.3493300749 
2.7265054207 1.6355256352 2.2589103267 17.8129531903 2.2605493887 12.2281206009 2.2769865143 2.8487706705 
2.7405039895 1.7492477598 2.3082592582 17.1493912817 2.3116479438 12.6080674415 2.3274466447 2.3301704665 
2.7538357745 0.9213770806 2.3595220833 18.4334258902 2.3623011813 12.4177267451 2.3774084207 1.8851409901 
2.8338213033 1.3475276239 2.4087821980 17.5186905386 2.4125217052 12.2676879509 2.4245439369 1.9587107406 
2.8465319226 1.7679425688 2.4599236526 18.6816767587 2.4636010614 13.1402513730 2.4783671969 5.4192325586 
2.8580606266 1.3699671587 2.5096149504 17.9469004058 2.5134472866 12.5328392580 2.5291499145 1.7776405633 
2.9598383013 1.8211433522 2.5602697347 18.5874407382 2.5646714529 13.7555929639 2.5781366434 4.7319546092 
3.1346358558 4.3296604022 2.6104898444 18.4560192864 2.6139207464 12.8342528957 2.6300048109 2.8044639514 
3.4347727908 3.0781599654 2.6603587581 18.5079814901 2.6648061561 13.8485133618 2.6839506640 1.3604416083 
3.5127206874 1.5610928358 2.7112710416 19.0576035077 2.7146241152 13.2464184030 2.7438705849 3.6745599681 
3.5571476955 2.6470744958 2.7607017196 18.6734157014 2.7650301971 13.6725129845 2.7941720546 1.2538370522 
